Node,forT,P,Q,ValueP,ValueQ
88,3,0,0,500,500
88,4,0,0,500,500
89,2,0,0,500,500
89,3,0,0,500,500
89,4,0,0,500,500
90,2,0,0,500,500
90,3,0,0,500,500
90,4,0,0,500,500
91,2,0,0,500,500
91,3,0,0,500,500
91,4,0,0,500,500
92,2,0,0,500,500
92,3,0,0,500,500
92,4,0,0,500,500
93,2,0,0,500,500
93,3,0,0,500,500
93,4,0,0,500,500
94,2,0,0,500,500
94,3,0,0,500,500
94,4,0,0,500,500
95,2,0,0,500,500
95,3,0,0,500,500
95,4,0,0,500,500
96,2,0,0,500,500
96,3,0,0,500,500
96,4,0,0,500,500
97,2,0,0,500,500
97,3,0,0,500,500
97,4,0,0,500,500
98,2,228.2395709,0,500,500
98,3,228.2102858,0,500,500
98,4,228.2143097,0,500,500
101,2,0,0,500,500
101,3,0,0,500,500
101,4,0,0,500,500
102,2,9.26,0,500,500
102,3,9.26,0,500,500
102,4,9.26,0,500,500
103,2,0,0,500,500
103,3,0,0,500,500
103,4,0,0,500,500
105,2,0,0,500,500
105,3,0,0,500,500
105,4,0,0,500,500
106,2,0,0,500,500
106,3,0,0,500,500
106,4,0,0,500,500
107,2,0,0,500,500
107,3,0,0,500,500
107,4,0,0,500,500
108,2,0,0,500,500
108,3,0,0,500,500
108,4,0,0,500,500
109,2,0,0,500,500
109,3,0,0,500,500
109,4,0,0,500,500
110,2,0,0,500,500
110,3,0,0,500,500
110,4,0,0,500,500
111,2,0,0,500,500
111,3,0,0,500,500
111,4,0,0,500,500
112,2,0,0,500,500
112,3,0,0,500,500
112,4,0,0,500,500
113,2,0,0,500,500
113,3,0,0,500,500
113,4,0,0,500,500
114,2,0,0,500,500
114,3,0,0,500,500
114,4,0,0,500,500
115,2,0.15,0,500,500
115,3,0.15,0,500,500
115,4,0.15,0,500,500
116,2,0,0,500,500
116,3,0,0,500,500
116,4,0,0,500,500
117,2,0,0,500,500
117,3,0,0,500,500
117,4,0,0,500,500
118,2,0,0,500,500
118,3,0,0,500,500
118,4,0,0,500,500
119,2,0,0,500,500
119,3,0,0,500,500
119,4,0,0,500,500
120,2,0,0,500,500
120,3,0,0,500,500
120,4,0,0,500,500
121,2,0,0,500,500
121,3,0,0,500,500
121,4,0,0,500,500
122,2,0,0,500,500
122,3,0,0,500,500
122,4,0,0,500,500
123,2,0,0,500,500
123,3,0,0,500,500
123,4,0,0,500,500
124,2,0,0,500,500
124,3,0,0,500,500
124,4,0,0,500,500
125,2,0,0,500,500
125,3,0,0,500,500
125,4,0,0,500,500
126,2,48.0517411,0,500,500
126,3,48.01991858,0,500,500
126,4,47.98809605,0,500,500
127,2,0,0,500,500
127,3,0,0,500,500
127,4,0,0,500,500
128,2,0,0,500,500
128,3,0,0,500,500
128,4,0,0,500,500
129,2,0,0,500,500
129,3,0,0,500,500
129,4,0,0,500,500
130,2,0,0,500,500
130,3,0,0,500,500
130,4,0,0,500,500
131,2,0,0,500,500
131,3,0,0,500,500
131,4,0,0,500,500
133,2,29.39515186,0,500,500
133,3,29.18288985,0,500,500
133,4,28.92324457,0,500,500
134,2,0,0,500,500
134,3,0,0,500,500
134,4,0,0,500,500
135,2,3.629807781,0,500,500
135,3,3.627403921,0,500,500
135,4,3.625000062,0,500,500
137,2,66,0,500,500
137,3,66,0,500,500
137,4,66,0,500,500
138,2,0,0,500,500
138,3,0,0,500,500
138,4,0,0,500,500
139,2,12,0,500,500
139,3,12,0,500,500
139,4,12,0,500,500
140,2,0,0,500,500
140,3,0,0,500,500
140,4,0,0,500,500
141,2,0,0,500,500
141,3,0,0,500,500
141,4,0,0,500,500
145,2,0,0,500,500
145,3,0,0,500,500
145,4,0,0,500,500
146,2,0,0,500,500
146,3,0,0,500,500
146,4,0,0,500,500
147,2,0,0,500,500
147,3,0,0,500,500
147,4,0,0,500,500
148,2,0,0,500,500
148,3,0,0,500,500
148,4,0,0,500,500
149,2,0,0,500,500
149,3,0,0,500,500
149,4,0,0,500,500
150,2,0,0,500,500
150,3,0,0,500,500
150,4,0,0,500,500
151,2,0.15,0,500,500
151,3,0.15,0,500,500
151,4,0.15,0,500,500
152,2,0,0,500,500
152,3,0,0,500,500
152,4,0,0,500,500
153,2,0,0,500,500
153,3,0,0,500,500
153,4,0,0,500,500
154,2,0,0,500,500
154,3,0,0,500,500
154,4,0,0,500,500
155,2,0,0,500,500
155,3,0,0,500,500
155,4,0,0,500,500
156,2,0,0,500,500
156,3,0,0,500,500
156,4,0,0,500,500
157,2,0,0,500,500
157,3,0,0,500,500
157,4,0,0,500,500
161,2,2.030180845,0,500,500
161,3,1.992363862,0,500,500
161,4,1.946104989,0,500,500
162,2,0,0,500,500
162,3,0,0,500,500
162,4,0,0,500,500
163,2,0,0,500,500
163,3,0,0,500,500
163,4,0,0,500,500
164,2,0,0,500,500
164,3,0,0,500,500
164,4,0,0,500,500
169,2,4,0,500,500
169,3,4,0,500,500
169,4,4,0,500,500
170,2,0,0,500,500
170,3,0,0,500,500
170,4,0,0,500,500
171,2,0,0,500,500
171,3,0,0,500,500
171,4,0,0,500,500
173,2,0,0,500,500
173,3,0,0,500,500
173,4,0,0,500,500
174,2,0,0,500,500
174,3,0,0,500,500
174,4,0,0,500,500
175,2,0,0,500,500
175,3,0,0,500,500
175,4,0,0,500,500
176,2,0,0,500,500
176,3,0,0,500,500
176,4,0,0,500,500
182,2,0,0,500,500
182,3,0,0,500,500
182,4,0,0,500,500
183,2,20,0,500,500
183,3,20,0,500,500
183,4,20,0,500,500
184,2,0,0,500,500
184,3,0,0,500,500
184,4,0,0,500,500
185,2,0,0,500,500
185,3,0,0,500,500
185,4,0,0,500,500
186,2,0,0,500,500
186,3,0,0,500,500
186,4,0,0,500,500
187,2,0,0,500,500
187,3,0,0,500,500
187,4,0,0,500,500
188,2,4,0,500,500
188,3,4,0,500,500
188,4,4,0,500,500
189,2,0,0,500,500
189,3,0,0,500,500
189,4,0,0,500,500
190,2,0,0,500,500
190,3,0,0,500,500
190,4,0,0,500,500
191,2,0,0,500,500
191,3,0,0,500,500
191,4,0,0,500,500
192,2,17.28479896,0,500,500
192,3,17.27335201,0,500,500
192,4,17.26190505,0,500,500
193,2,0,0,500,500
193,3,0,0,500,500
193,4,0,0,500,500
194,2,0,0,500,500
194,3,0,0,500,500
194,4,0,0,500,500
195,2,-41.16853547,-0.2145,500,500
195,3,-41.13097139,-0.2145,500,500
195,4,-41.09315337,-0.2145,500,500
196,2,0,0,500,500
196,3,0,0,500,500
196,4,0,0,500,500
197,2,0,0,500,500
197,3,0,0,500,500
197,4,0,0,500,500
198,2,0,0,500,500
198,3,0,0,500,500
198,4,0,0,500,500
199,2,0,0,500,500
199,3,0,0,500,500
199,4,0,0,500,500
200,2,12.11870036,0,500,500
200,3,12.10531284,0,500,500
200,4,12.08893683,0,500,500
201,2,0,0,500,500
201,3,0,0,500,500
201,4,0,0,500,500
202,2,0,0,500,500
202,3,0,0,500,500
202,4,0,0,500,500
203,2,0.15,0,500,500
203,3,0.15,0,500,500
203,4,0.15,0,500,500
204,2,0,0,500,500
204,3,0,0,500,500
204,4,0,0,500,500
205,2,0,0,500,500
205,3,0,0,500,500
205,4,0,0,500,500
206,2,0,0,500,500
206,3,0,0,500,500
206,4,0,0,500,500
207,2,200,0,500,500
207,3,200,0,500,500
207,4,200,0,500,500
208,2,0,0,500,500
208,3,0,0,500,500
208,4,0,0,500,500
209,2,0,0,500,500
209,3,0,0,500,500
209,4,0,0,500,500
223,2,0,0,500,500
223,3,0,0,500,500
223,4,0,0,500,500
224,2,0.15,0,500,500
224,3,0.15,0,500,500
224,4,0.15,0,500,500
225,2,0,0,500,500
225,3,0,0,500,500
225,4,0,0,500,500
226,2,0,0,500,500
226,3,0,0,500,500
226,4,0,0,500,500
227,2,0,0,500,500
227,3,0,0,500,500
227,4,0,0,500,500
228,2,0,0,500,500
228,3,0,0,500,500
228,4,0,0,500,500
244,2,66,0,500,500
244,3,66,0,500,500
244,4,66,0,500,500
245,2,0,0,500,500
245,3,0,0,500,500
245,4,0,0,500,500
246,2,0,0,500,500
246,3,0,0,500,500
246,4,0,0,500,500
248,2,0,0,500,500
248,3,0,0,500,500
248,4,0,0,500,500
249,2,0,0,500,500
249,3,0,0,500,500
249,4,0,0,500,500
265,2,0,0,500,500
265,3,0,0,500,500
265,4,0,0,500,500
266,2,7,0,500,500
266,3,7,0,500,500
266,4,7,0,500,500
267,2,0,0,500,500
267,3,0,0,500,500
267,4,0,0,500,500
268,2,0,0,500,500
268,3,0,0,500,500
268,4,0,0,500,500
269,2,0,0,500,500
269,3,0,0,500,500
269,4,0,0,500,500
270,2,0,0,500,500
270,3,0,0,500,500
270,4,0,0,500,500
271,2,0,0,500,500
271,3,0,0,500,500
271,4,0,0,500,500
272,2,0,0,500,500
272,3,0,0,500,500
272,4,0,0,500,500
273,2,0,0,500,500
273,3,0,0,500,500
273,4,0,0,500,500
274,2,0,0,500,500
274,3,0,0,500,500
274,4,0,0,500,500
275,2,0,0,500,500
275,3,0,0,500,500
275,4,0,0,500,500
276,2,21,0,500,500
276,3,21,0,500,500
276,4,21,0,500,500
277,2,0,0,500,500
277,3,0,0,500,500
277,4,0,0,500,500
278,2,0,0,500,500
278,3,0,0,500,500
278,4,0,0,500,500
281,2,0,0,500,500
281,3,0,0,500,500
281,4,0,0,500,500
298,2,0,0,500,500
298,3,0,0,500,500
298,4,0,0,500,500
299,2,0,0,500,500
299,3,0,0,500,500
299,4,0,0,500,500
300,2,0,0,500,500
300,3,0,0,500,500
300,4,0,0,500,500
301,2,20.42214659,0,500,500
301,3,20.42214659,0,500,500
301,4,20.42214659,0,500,500
303,2,0,0,500,500
303,3,0,0,500,500
303,4,0,0,500,500
304,2,0,0,500,500
304,3,0,0,500,500
304,4,0,0,500,500
305,2,0,0,500,500
305,3,0,0,500,500
305,4,0,0,500,500
307,2,0,0,500,500
307,3,0,0,500,500
307,4,0,0,500,500
308,2,0,0,500,500
308,3,0,0,500,500
308,4,0,0,500,500
309,2,0,0,500,500
309,3,0,0,500,500
309,4,0,0,500,500
310,2,0,0,500,500
310,3,0,0,500,500
310,4,0,0,500,500
314,2,0,0,500,500
314,3,0,0,500,500
314,4,0,0,500,500
315,2,0,0,500,500
315,3,0,0,500,500
315,4,0,0,500,500
316,2,0,0,500,500
316,3,0,0,500,500
316,4,0,0,500,500
317,2,0,0,500,500
317,3,0,0,500,500
317,4,0,0,500,500
318,2,0,0,500,500
318,3,0,0,500,500
318,4,0,0,500,500
320,2,0,0,500,500
320,3,0,0,500,500
320,4,0,0,500,500
322,2,0,0,500,500
322,3,0,0,500,500
322,4,0,0,500,500
323,2,0,0,500,500
323,3,0,0,500,500
323,4,0,0,500,500
325,2,88.06854818,0,500,500
325,3,88.06854818,0,500,500
325,4,88.06854818,0,500,500
326,2,0,0,500,500
326,3,0,0,500,500
326,4,0,0,500,500
327,2,0,0,500,500
327,3,0,0,500,500
327,4,0,0,500,500
328,2,0,0,500,500
328,3,0,0,500,500
328,4,0,0,500,500
329,2,0,0,500,500
329,3,0,0,500,500
329,4,0,0,500,500
330,2,40,0,500,500
330,3,40,0,500,500
330,4,40,0,500,500
331,2,0,0,500,500
331,3,0,0,500,500
331,4,0,0,500,500
332,2,0,0,500,500
332,3,0,0,500,500
332,4,0,0,500,500
333,2,0,0,500,500
333,3,0,0,500,500
333,4,0,0,500,500
334,2,0,0,500,500
334,3,0,0,500,500
334,4,0,0,500,500
335,2,0,0,500,500
335,3,0,0,500,500
335,4,0,0,500,500
336,2,9,0,500,500
336,3,9,0,500,500
336,4,9,0,500,500
337,2,0,0,500,500
337,3,0,0,500,500
337,4,0,0,500,500
338,2,0,0,500,500
338,3,0,0,500,500
338,4,0,0,500,500
342,2,-16.67105985,-0.072,500,500
342,3,-16.65499324,-0.072,500,500
342,4,-16.64112527,-0.072,500,500
343,2,0,0,500,500
343,3,0,0,500,500
343,4,0,0,500,500
344,2,0,0,500,500
344,3,0,0,500,500
344,4,0,0,500,500
345,2,0,0,500,500
345,3,0,0,500,500
345,4,0,0,500,500
346,2,0,0,500,500
346,3,0,0,500,500
346,4,0,0,500,500
347,2,0,0,500,500
347,3,0,0,500,500
347,4,0,0,500,500
348,2,0,0,500,500
348,3,0,0,500,500
348,4,0,0,500,500
349,2,0,0,500,500
349,3,0,0,500,500
349,4,0,0,500,500
350,2,0,0,500,500
350,3,0,0,500,500
350,4,0,0,500,500
351,2,0,0,500,500
351,3,0,0,500,500
351,4,0,0,500,500
352,2,0,0,500,500
352,3,0,0,500,500
352,4,0,0,500,500
353,2,0,0,500,500
353,3,0,0,500,500
353,4,0,0,500,500
354,2,0,0,500,500
354,3,0,0,500,500
354,4,0,0,500,500
355,2,0,0,500,500
355,3,0,0,500,500
355,4,0,0,500,500
356,2,110,0,500,500
356,3,110,0,500,500
356,4,110,0,500,500
357,2,0,0,500,500
357,3,0,0,500,500
357,4,0,0,500,500
358,2,0,0,500,500
358,3,0,0,500,500
358,4,0,0,500,500
359,2,0,0,500,500
359,3,0,0,500,500
359,4,0,0,500,500
360,2,0,0,500,500
360,3,0,0,500,500
360,4,0,0,500,500
365,2,0,0,500,500
365,3,0,0,500,500
365,4,0,0,500,500
366,2,0,0,500,500
366,3,0,0,500,500
366,4,0,0,500,500
367,2,0,0,500,500
367,3,0,0,500,500
367,4,0,0,500,500
369,2,14.6,0,500,500
369,3,14.6,0,500,500
369,4,14.6,0,500,500
370,2,0,0,500,500
370,3,0,0,500,500
370,4,0,0,500,500
371,2,51.05,0,500,500
371,3,51.05,0,500,500
371,4,51.05,0,500,500
372,2,0,0,500,500
372,3,0,0,500,500
372,4,0,0,500,500
373,2,0,0,500,500
373,3,0,0,500,500
373,4,0,0,500,500
374,2,0,0,500,500
374,3,0,0,500,500
374,4,0,0,500,500
375,2,0,0,500,500
375,3,0,0,500,500
375,4,0,0,500,500
377,2,0,0,500,500
377,3,0,0,500,500
377,4,0,0,500,500
378,2,0,0,500,500
378,3,0,0,500,500
378,4,0,0,500,500
379,2,0,0,500,500
379,3,0,0,500,500
379,4,0,0,500,500
381,2,0,0,500,500
381,3,0,0,500,500
381,4,0,0,500,500
384,2,0,0,500,500
384,3,0,0,500,500
384,4,0,0,500,500
392,2,5.16923138,0,500,500
392,3,5.16923138,0,500,500
392,4,5.16923138,0,500,500
393,2,0,0,500,500
393,3,0,0,500,500
393,4,0,0,500,500
394,2,0,0,500,500
394,3,0,0,500,500
394,4,0,0,500,500
395,2,0,0,500,500
395,3,0,0,500,500
395,4,0,0,500,500
396,2,0,0,500,500
396,3,0,0,500,500
396,4,0,0,500,500
397,2,12.8,0,500,500
397,3,12.8,0,500,500
397,4,12.8,0,500,500
398,2,0,0,500,500
398,3,0,0,500,500
398,4,0,0,500,500
399,2,0,0,500,500
399,3,0,0,500,500
399,4,0,0,500,500
400,2,0,0,500,500
400,3,0,0,500,500
400,4,0,0,500,500
401,2,0,0,500,500
401,3,0,0,500,500
401,4,0,0,500,500
402,2,0,0,500,500
402,3,0,0,500,500
402,4,0,0,500,500
403,2,0,0,500,500
403,3,0,0,500,500
403,4,0,0,500,500
404,2,0,0,500,500
404,3,0,0,500,500
404,4,0,0,500,500
406,2,0,0,500,500
406,3,0,0,500,500
406,4,0,0,500,500
407,2,0,0,500,500
407,3,0,0,500,500
407,4,0,0,500,500
408,2,88.68583639,0,500,500
408,3,88.68583639,0,500,500
408,4,88.68583639,0,500,500
409,2,0,0,500,500
409,3,0,0,500,500
409,4,0,0,500,500
410,2,0,0,500,500
410,3,0,0,500,500
410,4,0,0,500,500
411,2,0,0,500,500
411,3,0,0,500,500
411,4,0,0,500,500
412,2,0,0,500,500
412,3,0,0,500,500
412,4,0,0,500,500
413,2,0,0,500,500
413,3,0,0,500,500
413,4,0,0,500,500
415,2,0,0,500,500
415,3,0,0,500,500
415,4,0,0,500,500
416,2,0,0,500,500
416,3,0,0,500,500
416,4,0,0,500,500
430,2,80,0,500,500
430,3,80,0,500,500
430,4,80,0,500,500
431,2,0,0,500,500
431,3,0,0,500,500
431,4,0,0,500,500
432,2,0,0,500,500
432,3,0,0,500,500
432,4,0,0,500,500
433,2,0,0,500,500
433,3,0,0,500,500
433,4,0,0,500,500
434,2,0,0,500,500
434,3,0,0,500,500
434,4,0,0,500,500
435,2,0,0,500,500
435,3,0,0,500,500
435,4,0,0,500,500
436,2,0,0,500,500
436,3,0,0,500,500
436,4,0,0,500,500
437,2,0,0,500,500
437,3,0,0,500,500
437,4,0,0,500,500
438,2,-24.87169471,0,500,500
438,3,-24.82856055,0,500,500
438,4,-24.7854264,0,500,500
439,2,0,0,500,500
439,3,0,0,500,500
439,4,0,0,500,500
444,2,0,0,500,500
444,3,0,0,500,500
444,4,0,0,500,500
445,2,0,0,500,500
445,3,0,0,500,500
445,4,0,0,500,500
446,2,0,0,500,500
446,3,0,0,500,500
446,4,0,0,500,500
447,2,0,0,500,500
447,3,0,0,500,500
447,4,0,0,500,500
448,2,0,0,500,500
448,3,0,0,500,500
448,4,0,0,500,500
449,2,0,0,500,500
449,3,0,0,500,500
449,4,0,0,500,500
454,2,0,0,500,500
454,3,0,0,500,500
454,4,0,0,500,500
455,2,0,0,500,500
455,3,0,0,500,500
455,4,0,0,500,500
456,2,0,0,500,500
456,3,0,0,500,500
456,4,0,0,500,500
457,2,0,0,500,500
457,3,0,0,500,500
457,4,0,0,500,500
464,2,106.0212302,0,500,500
464,3,106.0643644,0,500,500
464,4,106.1074985,0,500,500
465,2,0,0,500,500
465,3,0,0,500,500
465,4,0,0,500,500
466,2,0,0,500,500
466,3,0,0,500,500
466,4,0,0,500,500
467,2,0,0,500,500
467,3,0,0,500,500
467,4,0,0,500,500
468,2,0,0,500,500
468,3,0,0,500,500
468,4,0,0,500,500
469,2,0,0,500,500
469,3,0,0,500,500
469,4,0,0,500,500
470,2,0,0,500,500
470,3,0,0,500,500
470,4,0,0,500,500
471,2,8,0,500,500
471,3,8,0,500,500
471,4,8,0,500,500
472,2,0,0,500,500
472,3,0,0,500,500
472,4,0,0,500,500
473,2,0,0,500,500
473,3,0,0,500,500
473,4,0,0,500,500
477,2,0,0,500,500
477,3,0,0,500,500
477,4,0,0,500,500
478,2,37.32,0,500,500
478,3,37.32,0,500,500
478,4,37.32,0,500,500
479,2,0,0,500,500
479,3,0,0,500,500
479,4,0,0,500,500
480,2,0,0,500,500
480,3,0,0,500,500
480,4,0,0,500,500
481,2,0,0,500,500
481,3,0,0,500,500
481,4,0,0,500,500
482,2,0,0,500,500
482,3,0,0,500,500
482,4,0,0,500,500
483,2,0,0,500,500
483,3,0,0,500,500
483,4,0,0,500,500
484,2,0,0,500,500
484,3,0,0,500,500
484,4,0,0,500,500
485,2,0,0,500,500
485,3,0,0,500,500
485,4,0,0,500,500
487,2,42.51337771,0,500,500
487,3,42.46656003,0,500,500
487,4,42.40929123,0,500,500
488,2,0,0,500,500
488,3,0,0,500,500
488,4,0,0,500,500
489,2,0,0,500,500
489,3,0,0,500,500
489,4,0,0,500,500
490,2,0,0,500,500
490,3,0,0,500,500
490,4,0,0,500,500
491,2,0,0,500,500
491,3,0,0,500,500
491,4,0,0,500,500
492,2,0,0,500,500
492,3,0,0,500,500
492,4,0,0,500,500
493,2,0,0,500,500
493,3,0,0,500,500
493,4,0,0,500,500
494,2,0,0,500,500
494,3,0,0,500,500
494,4,0,0,500,500
495,2,0,0,500,500
495,3,0,0,500,500
495,4,0,0,500,500
499,2,0,0,500,500
499,3,0,0,500,500
499,4,0,0,500,500
500,2,0,0,500,500
500,3,0,0,500,500
500,4,0,0,500,500
501,2,-24.87169471,0,500,500
501,3,-24.82856055,0,500,500
501,4,-24.7854264,0,500,500
502,2,-24.87169471,0,500,500
502,3,-24.82856055,0,500,500
502,4,-24.7854264,0,500,500
503,2,-24.87169471,0,500,500
503,3,-24.82856055,0,500,500
503,4,-24.7854264,0,500,500
506,2,0,0,500,500
506,3,0,0,500,500
506,4,0,0,500,500
507,2,0,0,500,500
507,3,0,0,500,500
507,4,0,0,500,500
512,2,-24.87169471,0,500,500
512,3,-24.82856055,0,500,500
512,4,-24.7854264,0,500,500
515,2,0.15,0,500,500
515,3,0.15,0,500,500
515,4,0.15,0,500,500
516,2,0,0,500,500
516,3,0,0,500,500
516,4,0,0,500,500
517,2,0,0,500,500
517,3,0,0,500,500
517,4,0,0,500,500
518,2,0,0,500,500
518,3,0,0,500,500
518,4,0,0,500,500
519,2,-24.87169471,0,500,500
519,3,-24.82856055,0,500,500
519,4,-24.7854264,0,500,500
520,2,0,0,500,500
520,3,0,0,500,500
520,4,0,0,500,500
521,2,0,0,500,500
521,3,0,0,500,500
521,4,0,0,500,500
522,2,0,0,500,500
522,3,0,0,500,500
522,4,0,0,500,500
525,2,0,0,500,500
525,3,0,0,500,500
525,4,0,0,500,500
526,2,-24.87169471,0,500,500
526,3,-24.82856055,0,500,500
526,4,-24.7854264,0,500,500
527,2,-24.87169471,0,500,500
527,3,-24.82856055,0,500,500
527,4,-24.7854264,0,500,500
528,2,0,0,500,500
528,3,0,0,500,500
528,4,0,0,500,500
530,2,0,0,500,500
530,3,0,0,500,500
530,4,0,0,500,500
532,2,0,0,500,500
532,3,0,0,500,500
532,4,0,0,500,500
534,2,0,0,500,500
534,3,0,0,500,500
534,4,0,0,500,500
535,2,0,0,500,500
535,3,0,0,500,500
535,4,0,0,500,500
536,2,0,0,500,500
536,3,0,0,500,500
536,4,0,0,500,500
537,2,0,0,500,500
537,3,0,0,500,500
537,4,0,0,500,500
538,2,0,0,500,500
538,3,0,0,500,500
538,4,0,0,500,500
539,2,-24.87169471,0,500,500
539,3,-24.82856055,0,500,500
539,4,-24.7854264,0,500,500
540,2,0,0,500,500
540,3,0,0,500,500
540,4,0,0,500,500
546,2,-27.28576811,0,500,500
546,3,-27.21410102,0,500,500
546,4,-27.14243393,0,500,500
547,2,-27.28576811,0,500,500
547,3,-27.21410102,0,500,500
547,4,-27.14243393,0,500,500
548,2,-27.28576811,0,500,500
548,3,-27.21410102,0,500,500
548,4,-27.14243393,0,500,500
549,2,-27.28576811,0,500,500
549,3,-27.21410102,0,500,500
549,4,-27.14243393,0,500,500
554,2,0,0,500,500
554,3,0,0,500,500
554,4,0,0,500,500
555,2,0,0,500,500
555,3,0,0,500,500
555,4,0,0,500,500
556,2,0,0,500,500
556,3,0,0,500,500
556,4,0,0,500,500
559,2,-24.87169471,0,500,500
559,3,-24.82856055,0,500,500
559,4,-24.7854264,0,500,500
560,2,-24.87169471,0,500,500
560,3,-24.82856055,0,500,500
560,4,-24.7854264,0,500,500
561,2,0,0,500,500
561,3,0,0,500,500
561,4,0,0,500,500
562,2,0,0,500,500
562,3,0,0,500,500
562,4,0,0,500,500
564,2,0,0,500,500
564,3,0,0,500,500
564,4,0,0,500,500
565,2,-24.87169471,0,500,500
565,3,-24.82856055,0,500,500
565,4,-24.7854264,0,500,500
566,2,0,0,500,500
566,3,0,0,500,500
566,4,0,0,500,500
567,2,0,0,500,500
567,3,0,0,500,500
567,4,0,0,500,500
568,2,-24.87169471,0,500,500
568,3,-24.82856055,0,500,500
568,4,-24.7854264,0,500,500
569,2,-24.87169471,0,500,500
569,3,-24.82856055,0,500,500
569,4,-24.7854264,0,500,500
570,2,0,0,500,500
570,3,0,0,500,500
570,4,0,0,500,500
571,2,0,0,500,500
571,3,0,0,500,500
571,4,0,0,500,500
573,2,0,0,500,500
573,3,0,0,500,500
573,4,0,0,500,500
574,2,0,0,500,500
574,3,0,0,500,500
574,4,0,0,500,500
580,2,0,0,500,500
580,3,0,0,500,500
580,4,0,0,500,500
581,2,0,0,500,500
581,3,0,0,500,500
581,4,0,0,500,500
582,2,115.1283053,0,500,500
582,3,115.1714394,0,500,500
582,4,115.2145736,0,500,500
583,2,0,0,500,500
583,3,0,0,500,500
583,4,0,0,500,500
584,2,0,0,500,500
584,3,0,0,500,500
584,4,0,0,500,500
585,2,0,0,500,500
585,3,0,0,500,500
585,4,0,0,500,500
586,2,0,0,500,500
586,3,0,0,500,500
586,4,0,0,500,500
587,2,0,0,500,500
587,3,0,0,500,500
587,4,0,0,500,500
588,2,0,0,500,500
588,3,0,0,500,500
588,4,0,0,500,500
589,2,0,0,500,500
589,3,0,0,500,500
589,4,0,0,500,500
591,2,-24.87169471,0,500,500
591,3,-24.82856055,0,500,500
591,4,-24.7854264,0,500,500
592,2,0,0,500,500
592,3,0,0,500,500
592,4,0,0,500,500
594,2,0,0,500,500
594,3,0,0,500,500
594,4,0,0,500,500
595,2,0,0,500,500
595,3,0,0,500,500
595,4,0,0,500,500
596,2,0,0,500,500
596,3,0,0,500,500
596,4,0,0,500,500
597,2,-27.28576811,0,500,500
597,3,-27.21410102,0,500,500
597,4,-27.14243393,0,500,500
599,2,0,0,500,500
599,3,0,0,500,500
599,4,0,0,500,500
601,2,0,0,500,500
601,3,0,0,500,500
601,4,0,0,500,500
604,2,0,0,500,500
604,3,0,0,500,500
604,4,0,0,500,500
