QtBids,QBid,forT
227695,758579,90
227695,758580,91
227696,758582,90
227697,758584,90
227698,758586,90
227698,758587,91
227698,758588,92
227699,758590,90
227699,758591,91
227699,758592,92
227700,758594,90
227700,758595,91
227701,758597,90
227701,758598,91
227701,758599,92
227702,758601,90
227702,758602,91
227702,758603,92
227703,758605,90
227703,758606,91
227704,758608,90
227704,758609,91
227704,758610,92
227705,758612,90
227705,758613,91
227706,758615,90
227706,758616,91
227706,758617,92
227707,758619,90
227707,758620,91
227707,758621,92
227708,758623,90
227708,758624,91
227708,758625,92
227709,758627,90
227709,758628,91
227710,758630,90
227710,758631,91
227710,758632,92
227712,758635,90
227712,758636,91
227712,758637,92
227713,758639,90
227713,758640,91
227713,758641,92
227714,758643,90
227714,758644,91
227714,758645,92
227715,758647,90
227715,758648,91
227715,758649,92
227716,758651,90
227716,758652,91
227717,758654,90
227717,758655,91
227717,758656,92
227718,758658,90
227719,758660,90
227719,758661,91
227719,758662,92
227720,758664,90
227721,758666,90
227721,758667,91
227721,758668,92
227722,758670,90
227722,758671,91
227723,758673,90
227723,758674,91
227723,758675,92
227724,758677,90
227724,758678,91
227724,758679,92
227725,758681,90
227725,758682,91
227725,758683,92
227727,758686,90
227728,758688,90
227728,758689,91
227729,758691,90
227729,758692,91
227729,758693,92
227730,758695,90
227730,758696,91
227732,758699,90
227732,758700,91
227732,758701,92
227733,758703,90
227733,758704,91
227734,758706,90
227734,758707,91
227734,758708,92
227735,758710,90
227735,758711,91
227735,758712,92
227736,758714,90
227736,758715,91
227736,758716,92
227738,758719,90
227738,758720,91
227738,758721,92
227739,758723,90
227739,758724,91
227740,758726,90
227740,758727,91
227740,758728,92
227741,758730,90
227741,758731,91
227742,758733,90
227742,758734,91
227742,758735,92
227743,758737,90
227743,758738,91
227743,758739,92
227744,758741,90
227744,758742,91
227744,758743,92
227669,758486,90
227669,758487,91
227670,758489,90
227670,758490,91
227670,758491,92
227671,758493,90
227671,758494,91
227671,758495,92
227672,758497,90
227672,758498,91
227672,758499,92
227750,758761,90
227750,758762,91
227751,758764,90
227751,758765,91
227751,758766,92
227752,758768,90
227753,758770,90
227755,758773,90
227755,758774,91
227756,758776,90
227756,758777,91
227756,758778,92
227757,758780,90
227757,758781,91
227757,758782,92
227758,758784,90
227758,758785,91
227759,758787,90
227761,758790,90
227761,758791,91
227761,758792,92
227762,758794,90
227762,758795,91
227763,758797,90
227765,758800,90
227765,758801,91
227767,758804,90
227768,758806,90
227768,758807,91
227768,758808,92
227769,758810,90
227770,758812,90
227770,758813,91
227772,758816,90
227772,758817,91
227772,758818,92
227774,758821,90
227775,758823,90
227775,758824,91
227776,758826,90
227776,758827,91
227776,758828,92
227778,758831,90
227778,758832,91
227778,758833,92
227779,758835,90
227779,758836,91
227780,758838,90
227782,758841,90
227782,758842,91
227783,758844,90
227783,758845,91
227783,758846,92
227784,758848,90
227786,758851,90
227786,758852,91
227787,758854,90
227788,758856,90
227788,758857,91
227788,758858,92
227789,758860,90
227789,758861,91
227790,758863,90
227792,758866,90
227792,758867,91
227792,758868,92
227793,758870,90
227793,758871,91
227794,758873,90
227794,758874,91
227794,758875,92
227795,758877,90
227797,758880,90
227798,758882,90
227798,758883,91
227799,758885,90
227799,758886,91
227799,758887,92
227801,758890,90
227801,758891,91
227802,758893,90
227803,758895,90
227803,758896,91
227803,758897,92
227806,758901,90
227806,758902,91
227807,758904,90
227807,758905,91
227807,758906,92
227808,758908,90
227810,758911,90
227811,758913,90
227811,758914,91
227812,758916,90
227812,758917,91
227812,758918,92
227813,758920,90
227814,758922,90
227814,758923,91
227814,758924,92
227816,758927,90
227816,758928,91
227818,758931,90
227818,758932,91
227819,758934,90
227819,758935,91
227819,758936,92
227820,758938,90
227822,758941,90
227823,758943,90
227823,758944,91
227823,758945,92
227824,758947,90
227824,758948,91
227825,758950,90
227825,758951,91
227826,758953,90
227828,758956,90
227828,758957,91
227828,758958,92
227829,758960,90
227831,758963,90
227831,758964,91
227831,758965,92
227832,758967,90
227832,758968,91
227833,758970,90
227833,758971,91
227833,758972,92
227835,758975,90
227835,758976,91
227836,758978,90
227837,758980,90
227837,758981,91
227837,758982,92
227838,758984,90
227838,758985,91
227840,758988,90
227842,758991,90
227842,758992,91
227843,758994,90
227844,758996,90
227844,758997,91
227844,758998,92
227845,759000,90
227847,759003,90
227847,759004,91
227848,759006,90
227848,759007,91
227848,759008,92
227849,759010,90
227849,759011,91
227849,759012,92
227850,759014,90
227850,759015,91
227852,759018,90
227853,759020,90
227853,759021,91
227855,759024,90
227855,759025,91
227855,759026,92
227856,759028,90
227857,759030,90
227859,759033,90
227859,759034,91
227859,759035,92
227860,759037,90
227860,759038,91
227861,759040,90
227861,759041,91
227861,759042,92
227862,759044,90
227862,759045,91
227863,759047,90
227865,759050,90
227865,759051,91
227866,759053,90
227868,759056,90
227868,759057,91
227868,759058,92
227869,759060,90
227869,759061,91
227869,759062,92
227871,759065,90
227871,759066,91
227872,759068,90
227873,759070,90
227873,759071,91
227873,759072,92
227874,759074,90
227875,759076,90
227875,759077,91
227878,759081,90
227878,759082,91
227879,759084,90
227879,759085,91
227879,759086,92
227880,759088,90
227882,759091,90
227882,759092,91
227882,759093,92
227883,759095,90
227884,759097,90
227884,759098,91
227885,759100,90
227886,759102,90
227886,759103,91
227888,759106,90
227888,759107,91
227888,759108,92
227889,759110,90
227889,759111,91
227890,759113,90
227890,759114,91
227890,759115,92
227891,759117,90
227893,759120,90
227893,759121,91
227895,759124,90
227896,759126,90
227896,759127,91
227896,759128,92
227897,759130,90
227897,759131,91
227898,759133,90
227898,759134,91
227898,759135,92
227900,759138,90
227902,759141,90
227902,759142,91
227902,759143,92
227903,759145,90
227904,759147,90
227904,759148,91
227905,759150,90
227905,759151,91
227905,759152,92
227906,759154,90
227906,759155,91
227908,759158,90
227909,759160,90
227909,759161,91
227909,759162,92
227911,759165,90
227911,759166,91
227912,759168,90
227913,759170,90
227913,759171,91
227913,759172,92
227915,759175,90
227915,759176,91
227916,759178,90
227918,759181,90
227919,759183,90
227919,759184,91
227919,759185,92
227920,759187,90
227920,759188,91
227921,759190,90
227921,759191,91
227922,759193,90
227922,759194,91
227922,759195,92
227923,759197,90
227925,759200,90
227925,759201,91
227926,759203,90
227928,759206,90
227928,759207,91
227928,759208,92
227929,759210,90
227929,759211,91
227930,759213,90
227931,759215,90
227931,759216,91
227931,759217,92
227933,759220,90
227933,759221,91
227933,759222,92
227935,759225,90
227935,759226,91
227936,759228,90
227937,759230,90
227937,759231,91
227938,759233,90
227940,759236,90
227940,759237,91
227940,759238,92
227941,759240,90
227941,759241,91
227943,759244,90
227944,759246,90
227944,759247,91
227944,759248,92
227946,759251,90
227946,759252,91
227946,759253,92
227947,759255,90
227947,759256,91
227948,759258,90
227950,759261,90
227950,759262,91
227951,759264,90
227952,759266,90
227952,759267,91
227952,759268,92
227953,759270,90
227953,759271,91
227954,759273,90
227956,759276,90
227956,759277,91
227956,759278,92
227958,759281,90
227959,759283,90
227959,759284,91
227959,759285,92
227960,759287,90
227960,759288,91
227961,759290,90
227962,759292,90
227962,759293,91
227962,759294,92
227964,759297,90
227964,759298,91
227965,759300,90
227965,759301,91
227966,759303,90
227967,759305,90
227967,759306,91
227967,759307,92
227969,759310,90
227969,759311,91
227969,759312,92
227970,759314,90
227972,759317,90
227972,759318,91
227745,758745,90
227745,758746,91
227746,758748,90
227746,758749,91
227746,758750,92
227747,758752,90
227747,758753,91
227747,758754,92
227748,758756,90
227748,758757,91
227748,758758,92
227977,759335,90
227977,759336,91
227977,759337,92
227978,759339,90
227978,759340,91
227978,759341,92
227979,759343,90
227979,759344,91
227979,759345,92
227980,759347,90
227980,759348,91
227981,759350,90
227982,759352,90
227982,759353,91
227982,759354,92
227983,759356,90
227984,759358,90
227984,759359,91
227985,759361,90
227985,759362,91
227985,759363,92
227986,759365,90
227986,759366,91
227987,759368,90
227987,759369,91
227987,759370,92
227988,759372,90
227988,759373,91
227988,759374,92
227989,759376,90
227990,759378,90
227990,759379,91
227991,759381,90
227992,759383,90
227992,759384,91
227992,759385,92
227993,759387,90
227994,759389,90
227994,759390,91
227994,759391,92
227995,759393,90
227995,759394,91
227995,759395,92
227996,759397,90
227996,759398,91
227997,759400,90
227997,759401,91
227997,759402,92
227998,759404,90
227998,759405,91
227999,759407,90
227999,759408,91
227999,759409,92
228000,759411,90
228001,759413,90
228001,759414,91
228002,759416,90
228002,759417,91
228002,759418,92
228003,759420,90
228004,759422,90
228004,759423,91
228005,759425,90
228005,759426,91
228005,759427,92
228006,759429,90
228006,759430,91
228006,759431,92
228007,759433,90
228008,759435,90
228008,759436,91
228008,759437,92
228009,759439,90
228010,759441,90
228010,759442,91
228011,759444,90
228011,759445,91
228012,759447,90
228012,759448,91
228012,759449,92
228013,759451,90
228013,759452,91
228013,759453,92
228014,759455,90
228014,759456,91
228014,759457,92
228015,759459,90
228016,759461,90
228016,759462,91
228016,759463,92
228017,759465,90
228018,759467,90
228018,759468,91
228018,759469,92
228019,759471,90
228019,759472,91
228019,759473,92
228020,759475,90
228020,759476,91
228020,759477,92
228021,759479,90
228022,759481,90
228022,759482,91
228022,759483,92
228023,759485,90
228023,759486,91
228024,759488,90
228024,759489,91
228024,759490,92
228025,759492,90
228025,759493,91
228025,759494,92
228026,759496,90
228027,759498,90
228027,759499,91
228028,759501,90
228028,759502,91
228028,759503,92
228029,759505,90
228029,759506,91
228029,759507,92
228030,759509,90
228030,759510,91
228031,759512,90
228031,759513,91
228031,759514,92
228032,759516,90
228033,759518,90
228033,759519,91
228033,759520,92
228034,759522,90
228035,759524,90
228035,759525,91
228036,759527,90
228036,759528,91
228036,759529,92
228037,759531,90
228037,759532,91
228037,759533,92
228038,759535,90
228038,759536,91
228038,759537,92
228039,759539,90
228039,759540,91
228039,759541,92
228040,759543,90
228041,759545,90
228041,759546,91
228041,759547,92
228042,759549,90
228042,759550,91
228043,759552,90
228043,759553,91
228043,759554,92
228044,759556,90
228044,759557,91
228044,759558,92
227973,759320,90
227973,759321,91
227973,759322,92
227974,759324,90
227974,759325,91
227975,759327,90
227975,759328,91
227975,759329,92
227976,759331,90
227976,759332,91
227976,759333,92
228049,759575,90
228049,759576,91
228049,759577,92
228050,759579,90
228052,759582,90
228052,759583,91
228053,759585,90
228053,759586,91
228054,759588,90
228056,759591,90
228056,759592,91
228056,759593,92
228058,759596,90
228058,759597,91
228059,759599,90
228060,759601,90
228060,759602,91
228060,759603,92
228061,759605,90
228062,759607,90
228062,759608,91
228062,759609,92
228063,759611,90
228063,759612,91
228063,759613,92
228064,759615,90
228064,759616,91
228065,759618,90
228065,759619,91
228065,759620,92
228066,759622,90
228067,759624,90
228067,759625,91
228068,759627,90
228068,759628,91
228068,759629,92
228069,759631,90
228069,759632,91
228069,759633,92
228070,759635,90
228070,759636,91
228071,759638,90
228071,759639,91
228071,759640,92
228072,759642,90
228073,759644,90
228073,759645,91
228074,759647,90
228074,759648,91
228074,759649,92
228075,759651,90
228075,759652,91
228075,759653,92
228076,759655,90
228077,759657,90
228077,759658,91
228078,759660,90
228078,759661,91
228078,759662,92
228079,759664,90
228079,759665,91
228079,759666,92
228080,759668,90
228081,759670,90
228081,759671,91
228081,759672,92
228082,759674,90
228083,759676,90
228083,759677,91
228083,759678,92
228084,759680,90
228084,759681,91
228085,759683,90
228086,759685,90
228086,759686,91
228087,759688,90
228087,759689,91
228087,759690,92
228089,759693,90
228090,759695,90
228090,759696,91
228090,759697,92
228091,759699,90
228091,759700,91
228092,759702,90
228092,759703,91
228092,759704,92
228093,759706,90
228094,759708,90
228094,759709,91
228095,759711,90
228095,759712,91
228095,759713,92
228096,759715,90
228096,759716,91
228096,759717,92
228097,759719,90
228097,759720,91
228097,759721,92
228098,759723,90
228099,759725,90
228099,759726,91
228100,759728,90
228100,759729,91
228100,759730,92
228101,759732,90
228101,759733,91
228102,759735,90
228103,759737,90
228103,759738,91
228103,759739,92
228105,759742,90
228105,759743,91
228105,759744,92
228106,759746,90
228107,759748,90
228107,759749,91
228107,759750,92
228108,759752,90
228108,759753,91
228109,759755,90
228109,759756,91
228109,759757,92
228110,759759,90
228112,759762,90
228112,759763,91
228113,759765,90
228113,759766,91
228113,759767,92
228114,759769,90
228114,759770,91
228115,759772,90
228115,759773,91
228115,759774,92
228116,759776,90
228116,759777,91
228116,759778,92
228045,759560,90
228045,759561,91
228045,759562,92
228046,759564,90
228046,759565,91
228046,759566,92
228047,759568,90
228047,759569,91
228048,759571,90
228048,759572,91
228048,759573,92
228121,759795,90
228121,759796,91
228121,759797,92
228122,759799,90
228123,759801,90
228124,759803,90
228124,759804,91
228124,759805,92
228125,759807,90
228125,759808,91
228125,759809,92
228126,759811,90
228126,759812,91
228127,759814,90
228127,759815,91
228128,759817,90
228128,759818,91
228128,759819,92
228129,759821,90
228129,759822,91
228129,759823,92
228130,759825,90
228130,759826,91
228130,759827,92
228131,759829,90
228132,759831,90
228132,759832,91
228132,759833,92
228133,759835,90
228134,759837,90
228134,759838,91
228134,759839,92
228135,759841,90
228135,759842,91
228135,759843,92
228136,759845,90
228136,759846,91
228138,759849,90
228138,759850,91
228138,759851,92
228139,759853,90
228139,759854,91
228139,759855,92
228140,759857,90
228140,759858,91
228141,759860,90
228141,759861,91
228142,759863,90
228142,759864,91
228142,759865,92
228143,759867,90
228143,759868,91
228143,759869,92
228144,759871,90
228144,759872,91
228144,759873,92
228145,759875,90
228145,759876,91
228145,759877,92
228146,759879,90
228148,759882,90
228148,759883,91
228149,759885,90
228150,759887,90
228150,759888,91
228150,759889,92
228151,759891,90
228151,759892,91
228152,759894,90
228152,759895,91
228153,759897,90
228153,759898,91
228153,759899,92
228154,759901,90
228154,759902,91
228154,759903,92
228155,759905,90
228156,759907,90
228156,759908,91
228156,759909,92
228157,759911,90
228157,759912,91
228157,759913,92
228158,759915,90
228158,759916,91
228159,759918,90
228159,759919,91
228159,759920,92
228160,759922,90
228160,759923,91
228160,759924,92
228161,759926,90
228162,759928,90
228162,759929,91
228162,759930,92
228163,759932,90
228163,759933,91
228165,759936,90
228165,759937,91
228165,759938,92
228166,759940,90
228167,759942,90
228167,759943,91
228168,759945,90
228168,759946,91
228169,759948,90
228170,759950,90
228170,759951,91
228170,759952,92
228171,759954,90
228171,759955,91
228171,759956,92
228172,759958,90
228172,759959,91
228172,759960,92
228173,759962,90
228173,759963,91
228173,759964,92
228174,759966,90
228174,759967,91
228175,759969,90
228178,759973,90
228178,759974,91
228179,759976,90
228180,759978,90
228180,759979,91
