QtBid,QBids,QPDCID,QPDFrom,QPDTo,QPDMax
305,1111,56,-1,-1,0.2835
305,1112,56,-1,-1,0.2835
310,1129,60,-1,-1,0.0045
310,1130,60,-1,-1,0.0045
310,1131,60,-1,-1,0.0045
310,1132,60,-1,-1,0.0045
311,1133,61,-1,-1,0.063
311,1134,61,-1,-1,0.063
311,1135,61,-1,-1,0.063
311,1136,61,-1,-1,0.063
251,893,3,-1,-1,0.0315
251,894,3,-1,-1,0.0315
251,895,3,-1,-1,0.0315
251,896,3,-1,-1,0.0315
263,941,15,-1,-1,0.4491
263,942,15,-1,-1,0.4491
263,943,15,-1,-1,0.4491
263,944,15,-1,-1,0.4491
269,965,21,-1,-1,0.00405
269,966,21,-1,-1,0.00405
269,967,21,-1,-1,0.00405
269,968,21,-1,-1,0.00405
280,1009,32,-1,-1,0.002475
280,1010,32,-1,-1,0.002475
280,1011,32,-1,-1,0.002475
280,1012,32,-1,-1,0.002475
306,1113,57,-1,-1,0.063
306,1114,57,-1,-1,0.063
306,1115,57,-1,-1,0.063
306,1116,57,-1,-1,0.063
308,1121,58,-1,-1,0.021663
308,1122,58,-1,-1,0.021663
308,1123,58,-1,-1,0.021663
308,1124,58,-1,-1,0.021663
279,1005,31,-1,-1,0.0405
279,1006,31,-1,-1,0.0405
279,1007,31,-1,-1,0.0405
279,1008,31,-1,-1,0.0405
278,1001,30,-1,-1,0.0045
278,1002,30,-1,-1,0.0045
278,1003,30,-1,-1,0.0045
278,1004,30,-1,-1,0.0045
309,1125,59,-1,-1,0.7731
309,1126,59,-1,-1,0.7731
309,1127,59,-1,-1,0.7731
309,1128,59,-1,-1,0.7731
273,981,25,-1,-1,0.02925
273,982,25,-1,-1,0.02925
273,983,25,-1,-1,0.02925
273,984,25,-1,-1,0.02925
296,1073,47,-1,-1,0.4725
296,1074,47,-1,-1,0.4725
296,1075,47,-1,-1,0.4725
296,1076,47,-1,-1,0.4725
274,985,26,-1,-1,0.972
274,986,26,-1,-1,0.972
274,987,26,-1,-1,0.972
274,988,26,-1,-1,0.972
257,917,9,-1,-1,0.45
257,918,9,-1,-1,0.45
257,919,9,-1,-1,0.45
257,920,9,-1,-1,0.45
270,969,22,-1,-1,0.0045
270,970,22,-1,-1,0.0045
270,971,22,-1,-1,0.0045
270,972,22,-1,-1,0.0045
271,973,23,-1,-1,0.009
271,974,23,-1,-1,0.009
271,975,23,-1,-1,0.009
271,976,23,-1,-1,0.009
275,989,27,-1,-1,0.00225
275,990,27,-1,-1,0.00225
275,991,27,-1,-1,0.00225
275,992,27,-1,-1,0.00225
276,993,28,-1,-1,0.002475
276,994,28,-1,-1,0.002475
276,995,28,-1,-1,0.002475
276,996,28,-1,-1,0.002475
292,1057,43,-1,-1,0.072
292,1058,43,-1,-1,0.072
292,1059,43,-1,-1,0.072
292,1060,43,-1,-1,0.072
252,897,4,-1,-1,1.2735
252,898,4,-1,-1,1.2735
252,899,4,-1,-1,1.2735
252,900,4,-1,-1,1.2735
258,921,10,-1,-1,0.1845
258,922,10,-1,-1,0.1845
258,923,10,-1,-1,0.1845
258,924,10,-1,-1,0.1845
256,913,8,-1,-1,0.1836
256,914,8,-1,-1,0.1836
256,915,8,-1,-1,0.1836
256,916,8,-1,-1,0.1836
277,997,29,-1,-1,0.0045
277,998,29,-1,-1,0.0045
277,999,29,-1,-1,0.0045
277,1000,29,-1,-1,0.0045
249,885,1,-1,-1,0.3996
249,886,1,-1,-1,0.3996
249,887,1,-1,-1,0.3996
249,888,1,-1,-1,0.3996
260,929,12,-1,-1,0.44775
260,930,12,-1,-1,0.44775
260,931,12,-1,-1,0.44775
260,932,12,-1,-1,0.44775
265,949,17,-1,-1,0.00675
265,950,17,-1,-1,0.00675
265,951,17,-1,-1,0.00675
265,952,17,-1,-1,0.00675
267,957,19,-1,-1,0.0315
267,958,19,-1,-1,0.0315
267,959,19,-1,-1,0.0315
267,960,19,-1,-1,0.0315
286,1033,37,-1,-1,0.002475
286,1034,37,-1,-1,0.002475
286,1035,37,-1,-1,0.002475
286,1036,37,-1,-1,0.002475
287,1037,38,-1,-1,0.002475
287,1038,38,-1,-1,0.002475
287,1039,38,-1,-1,0.002475
287,1040,38,-1,-1,0.002475
293,1061,44,-1,-1,0.44505
293,1062,44,-1,-1,0.44505
293,1063,44,-1,-1,0.44505
293,1064,44,-1,-1,0.44505
300,1089,51,-1,-1,0.44775
300,1090,51,-1,-1,0.44775
300,1091,51,-1,-1,0.44775
300,1092,51,-1,-1,0.44775
313,1141,63,-1,-1,1.62
313,1142,63,-1,-1,1.62
313,1143,63,-1,-1,1.62
313,1144,63,-1,-1,1.62
315,1149,65,-1,-1,0.162
315,1150,65,-1,-1,0.162
315,1151,65,-1,-1,0.162
315,1152,65,-1,-1,0.162
299,1085,50,-1,-1,0.44775
299,1086,50,-1,-1,0.44775
299,1087,50,-1,-1,0.44775
299,1088,50,-1,-1,0.44775
259,925,11,-1,-1,0.44775
259,926,11,-1,-1,0.44775
259,927,11,-1,-1,0.44775
259,928,11,-1,-1,0.44775
