QtBids,QBid,forT
227398,757661,90
227398,757662,91
227398,757663,92
227399,757664,89
227399,757665,90
227399,757666,91
227399,757667,92
227400,757668,89
227400,757669,90
227400,757670,91
227401,757671,89
227401,757672,90
227401,757673,91
227401,757674,92
227402,757675,89
227402,757676,90
227402,757677,91
227402,757678,92
227403,757679,89
227403,757680,90
227404,757681,89
227404,757682,90
227404,757683,91
227404,757684,92
227405,757685,89
227405,757686,90
227405,757687,91
227406,757688,89
227406,757689,90
227408,757691,89
227408,757692,90
227408,757693,91
227408,757694,92
227409,757695,89
227409,757696,90
227409,757697,91
227410,757698,89
227410,757699,90
227412,757701,89
227412,757702,90
227412,757703,91
227412,757704,92
227414,757706,89
227414,757707,90
227414,757708,91
227415,757709,89
227415,757710,90
227416,757711,89
227416,757712,90
227416,757713,91
227416,757714,92
227417,757715,89
227417,757716,90
227417,757717,91
227418,757718,89
227418,757719,90
227418,757720,91
227418,757721,92
227419,757722,89
227419,757723,90
227419,757724,91
227419,757725,92
227420,757726,89
227420,757727,90
227420,757728,91
227420,757729,92
227421,757730,89
227421,757731,90
227421,757732,91
227422,757733,89
227422,757734,90
227422,757735,91
227422,757736,92
227423,757737,89
227423,757738,90
227424,757739,89
227424,757740,90
227424,757741,91
227424,757742,92
227425,757743,89
227425,757744,90
227425,757745,91
227426,757746,89
227426,757747,90
227427,757748,89
227427,757749,90
227427,757750,91
227427,757751,92
227428,757752,89
227428,757753,90
227428,757754,91
227428,757755,92
227429,757756,89
227429,757757,90
227430,757758,89
227430,757759,90
227430,757760,91
227432,757762,89
227432,757763,90
227432,757764,91
227432,757765,92
227433,757766,89
227433,757767,90
227433,757768,91
227433,757769,92
227435,757771,89
227435,757772,90
227435,757773,91
227436,757774,89
227436,757775,90
227436,757776,91
227436,757777,92
227437,757778,89
227437,757779,90
227437,757780,91
227439,757782,89
227439,757783,90
227440,757784,89
227440,757785,90
227440,757786,91
227440,757787,92
227441,757788,89
227441,757789,90
227443,757791,89
227443,757792,90
227443,757793,91
227444,757794,89
227444,757795,90
227444,757796,91
227444,757797,92
227445,757798,89
227445,757799,90
227445,757800,91
227445,757801,92
227446,757802,89
227446,757803,90
227447,757804,89
227447,757805,90
227447,757806,91
227449,757808,89
227449,757809,90
227449,757810,91
227450,757811,89
227450,757812,90
227450,757813,91
227450,757814,92
227451,757815,89
227451,757816,90
227451,757817,91
227451,757818,92
227452,757819,89
227452,757820,90
227452,757821,91
227452,757822,92
227453,757823,89
227453,757824,90
227453,757825,91
227453,757826,92
227454,757827,89
227454,757828,90
227454,757829,91
227454,757830,92
227455,757831,89
227455,757832,90
227455,757833,91
227457,757835,89
227457,757836,90
227457,757837,91
227457,757838,92
227458,757839,89
227458,757840,90
227459,757841,89
227459,757842,90
227459,757843,91
227459,757844,92
227460,757845,89
227460,757846,90
227460,757847,91
227460,757848,92
227462,757850,89
227462,757851,90
227462,757852,91
227463,757853,89
227463,757854,90
227464,757855,89
227464,757856,90
227464,757857,91
227464,757858,92
227465,757859,89
227465,757860,90
227465,757861,91
227466,757862,89
227466,757863,90
227466,757864,91
227466,757865,92
227467,757866,89
227467,757867,90
227467,757868,91
227467,757869,92
227468,757870,89
227468,757871,90
227468,757872,91
227468,757873,92
227469,757874,89
227469,757875,90
227470,757876,89
227470,757877,90
227470,757878,91
227472,757880,89
227472,757881,90
227472,757882,91
227472,757883,92
227473,757884,89
227473,757885,90
227473,757886,91
227474,757887,89
227474,757888,90
227475,757889,89
227475,757890,90
227475,757891,91
227475,757892,92
227477,757894,89
227477,757895,90
227478,757896,89
227478,757897,90
227478,757898,91
227479,757899,89
227479,757900,90
227479,757901,91
227479,757902,92
227481,757904,89
227481,757905,90
227481,757906,91
227481,757907,92
227482,757908,89
227482,757909,90
227483,757910,89
227483,757911,90
227483,757912,91
227484,757913,89
227484,757914,90
227484,757915,91
227484,757916,92
227486,757918,89
227486,757919,90
227486,757920,91
227486,757921,92
227487,757922,89
227487,757923,90
227488,757924,89
227488,757925,90
227488,757926,91
227489,757927,89
227489,757928,90
227489,757929,91
227489,757930,92
227490,757931,89
227490,757932,90
227490,757933,91
227490,757934,92
227491,757935,89
227491,757936,90
227491,757937,91
227492,757938,89
227492,757939,90
227492,757940,91
227492,757941,92
227493,757942,89
227493,757943,90
227493,757944,91
227494,757945,89
227494,757946,90
227494,757947,91
227494,757948,92
227495,757949,89
227495,757950,90
227495,757951,91
227495,757952,92
227496,757953,89
227496,757954,90
227496,757955,91
227496,757956,92
227497,757957,89
227497,757958,90
227497,757959,91
227497,757960,92
227499,757962,89
227499,757963,90
227499,757964,91
227500,757965,89
227500,757966,90
227501,757967,89
227501,757968,90
227501,757969,91
227501,757970,92
227502,757971,89
227502,757972,90
227502,757973,91
227502,757974,92
227503,757975,89
227503,757976,90
227503,757977,91
227503,757978,92
227504,757979,89
227504,757980,90
227504,757981,91
227504,757982,92
227505,757983,89
227505,757984,90
227505,757985,91
227505,757986,92
227506,757987,89
227506,757988,90
227506,757989,91
227506,757990,92
227507,757991,89
227507,757992,90
227507,757993,91
227507,757994,92
227508,757995,89
227508,757996,90
227508,757997,91
227508,757998,92
227509,757999,89
227509,758000,90
227509,758001,91
227509,758002,92
227510,758003,89
227510,758004,90
227510,758005,91
227510,758006,92
227511,758007,89
227511,758008,90
227512,758009,89
227512,758010,90
227512,758011,91
227512,758012,92
227513,758013,89
227513,758014,90
227513,758015,91
227514,758016,89
227514,758017,90
227514,758018,91
227514,758019,92
227515,758020,89
227515,758021,90
227515,758022,91
227515,758023,92
227516,758024,89
227516,758025,90
227516,758026,91
227516,758027,92
227517,758028,89
227517,758029,90
227518,758030,89
227518,758031,90
227518,758032,91
227518,758033,92
227519,758034,89
227519,758035,90
227520,758036,89
227520,758037,90
227520,758038,91
227520,758039,92
227522,758041,89
227522,758042,90
227522,758043,91
227522,758044,92
227523,758045,89
227523,758046,90
227523,758047,91
227524,758048,89
227524,758049,90
227525,758050,89
227525,758051,90
227525,758052,91
227525,758053,92
227526,758054,89
227526,758055,90
227526,758056,91
227526,758057,92
227527,758058,89
227527,758059,90
227527,758060,91
227528,758061,89
227528,758062,90
227528,758063,91
227528,758064,92
227529,758065,89
227529,758066,90
227529,758067,91
227529,758068,92
227530,758069,89
227530,758070,90
227531,758071,89
227531,758072,90
227531,758073,91
227531,758074,92
227532,758075,89
227532,758076,90
227532,758077,91
227533,758078,89
227533,758079,90
227533,758080,91
227533,758081,92
227534,758082,89
227534,758083,90
227534,758084,91
227534,758085,92
227535,758086,89
227535,758087,90
227535,758088,91
227535,758089,92
227536,758090,89
227536,758091,90
227538,758093,89
227538,758094,90
227538,758095,91
227538,758096,92
227539,758097,89
227539,758098,90
227539,758099,91
227540,758100,89
227540,758101,90
227541,758102,89
227541,758103,90
227541,758104,91
227541,758105,92
227542,758106,89
227542,758107,90
227542,758108,91
227543,758109,89
227543,758110,90
227543,758111,91
227543,758112,92
227544,758113,89
227544,758114,90
227544,758115,91
227544,758116,92
227297,757350,89
227297,757351,90
227297,757352,91
227297,757353,92
227298,757354,89
227298,757355,90
227298,757356,91
227298,757357,92
227299,757358,89
227299,757359,90
227299,757360,91
227299,757361,92
227300,757362,89
227300,757363,90
227300,757364,91
227549,758132,89
227549,758133,90
227550,758134,89
227550,758135,90
227550,758136,91
227550,758137,92
227551,758138,89
227551,758139,90
227551,758140,91
227551,758141,92
227552,758142,89
227552,758143,90
227552,758144,91
227553,758145,89
227553,758146,90
227553,758147,91
227553,758148,92
227554,758149,89
227554,758150,90
227554,758151,91
227555,758152,89
227555,758153,90
227555,758154,91
227555,758155,92
227556,758156,89
227556,758157,90
227557,758158,89
227557,758159,90
227558,758160,89
227558,758161,90
227558,758162,91
227559,758163,89
227559,758164,90
227559,758165,91
227559,758166,92
227562,758169,89
227562,758170,90
227562,758171,91
227563,758172,89
227563,758173,90
227563,758174,91
227563,758175,92
227564,758176,89
227564,758177,90
227565,758178,89
227565,758179,90
227566,758180,89
227566,758181,90
227566,758182,91
227566,758183,92
227567,758184,89
227567,758185,90
227567,758186,91
227567,758187,92
227568,758188,89
227568,758189,90
227568,758190,91
227569,758191,89
227569,758192,90
227570,758193,89
227570,758194,90
227570,758195,91
227570,758196,92
227571,758197,89
227571,758198,90
227571,758199,91
227573,758201,89
227573,758202,90
227574,758203,89
227574,758204,90
227574,758205,91
227574,758206,92
227575,758207,89
227575,758208,90
227575,758209,91
227577,758211,89
227577,758212,90
227578,758213,89
227578,758214,90
227578,758215,91
227580,758217,89
227580,758218,90
227580,758219,91
227580,758220,92
227581,758221,89
227581,758222,90
227581,758223,91
227583,758225,89
227583,758226,90
227584,758227,89
227584,758228,90
227584,758229,91
227584,758230,92
227585,758231,89
227585,758232,90
227585,758233,91
227585,758234,92
227586,758235,89
227586,758236,90
227586,758237,91
227587,758238,89
227587,758239,90
227587,758240,91
227587,758241,92
227588,758242,89
227588,758243,90
227588,758244,91
227588,758245,92
227589,758246,89
227589,758247,90
227591,758249,89
227591,758250,90
227591,758251,91
227591,758252,92
227592,758253,89
227592,758254,90
227592,758255,91
227593,758256,89
227593,758257,90
227593,758258,91
227593,758259,92
227594,758260,89
227594,758261,90
227595,758262,89
227595,758263,90
227595,758264,91
227596,758265,89
227596,758266,90
227596,758267,91
227596,758268,92
227597,758269,89
227597,758270,90
227597,758271,91
227597,758272,92
227598,758273,89
227598,758274,90
227598,758275,91
227598,758276,92
227599,758277,89
227599,758278,90
227599,758279,91
227600,758280,89
227600,758281,90
227600,758282,91
227600,758283,92
227545,758117,89
227545,758118,90
227545,758119,91
227545,758120,92
227546,758121,89
227546,758122,90
227546,758123,91
227546,758124,92
227547,758125,89
227547,758126,90
227547,758127,91
227547,758128,92
227548,758129,89
227548,758130,90
227548,758131,91
227609,758316,89
227609,758317,90
227609,758318,91
227609,758319,92
227610,758320,89
227610,758321,90
227611,758322,89
227611,758323,90
227611,758324,91
227613,758326,89
227613,758327,90
227614,758328,89
227614,758329,90
227614,758330,91
227614,758331,92
227615,758332,89
227615,758333,90
227615,758334,91
227615,758335,92
227616,758336,89
227616,758337,90
227617,758338,89
227617,758339,90
227617,758340,91
227618,758341,89
227618,758342,90
227618,758343,91
227619,758344,89
227619,758345,90
227619,758346,91
227619,758347,92
227620,758348,89
227620,758349,90
227620,758350,91
227620,758351,92
227621,758352,89
227621,758353,90
227623,758355,89
227623,758356,90
227623,758357,91
227623,758358,92
227624,758359,89
227624,758360,90
227624,758361,91
227626,758363,89
227626,758364,90
227626,758365,91
227626,758366,92
227627,758367,89
227627,758368,90
227628,758369,89
227628,758370,90
227628,758371,91
227629,758372,89
227629,758373,90
227629,758374,91
227629,758375,92
227630,758376,89
227630,758377,90
227630,758378,91
227631,758379,89
227631,758380,90
227633,758382,89
227633,758383,90
227633,758384,91
227633,758385,92
227635,758387,89
227635,758388,90
227635,758389,91
227636,758390,89
227636,758391,90
227637,758392,89
227637,758393,90
227637,758394,91
227639,758396,89
227639,758397,90
227640,758398,89
227640,758399,90
227640,758400,91
227640,758401,92
227641,758402,89
227641,758403,90
227641,758404,91
227641,758405,92
227642,758406,89
227642,758407,90
227642,758408,91
227643,758409,89
227643,758410,90
227643,758411,91
227643,758412,92
227644,758413,89
227644,758414,90
227645,758415,89
227645,758416,90
227645,758417,91
227647,758419,89
227647,758420,90
227648,758421,89
227648,758422,90
227648,758423,91
227648,758424,92
227650,758426,89
227650,758427,90
227650,758428,91
227650,758429,92
227651,758430,89
227651,758431,90
227651,758432,91
227652,758433,89
227652,758434,90
227653,758435,89
227653,758436,90
227655,758438,89
227655,758439,90
227655,758440,91
227656,758441,89
227656,758442,90
227656,758443,91
227656,758444,92
227657,758445,89
227657,758446,90
227657,758447,91
227657,758448,92
227658,758449,89
227658,758450,90
227658,758451,91
227658,758452,92
227660,758454,89
227660,758455,90
227660,758456,91
227661,758457,89
227661,758458,90
227661,758459,91
227661,758460,92
227662,758461,89
227662,758462,90
227662,758463,91
227662,758464,92
227663,758465,89
227663,758466,90
227663,758467,91
227664,758468,89
227664,758469,90
227664,758470,91
227664,758471,92
227665,758472,89
227665,758473,90
227665,758474,91
227666,758475,89
227666,758476,90
227667,758477,89
227667,758478,90
227667,758479,91
227667,758480,92
227668,758481,89
227668,758482,90
227668,758483,91
227668,758484,92
227601,758284,89
227601,758285,90
227601,758286,91
227601,758287,92
227602,758288,89
227602,758289,90
227602,758290,91
227602,758291,92
227603,758292,89
227603,758293,90
227603,758294,91
227603,758295,92
227604,758296,89
227604,758297,90
227604,758298,91
227604,758299,92
227605,758300,89
227605,758301,90
227605,758302,91
227605,758303,92
227606,758304,89
227606,758305,90
227606,758306,91
227606,758307,92
227607,758308,89
227607,758309,90
227607,758310,91
227607,758311,92
227608,758312,89
227608,758313,90
227608,758314,91
227608,758315,92
227673,758500,89
227673,758501,90
227673,758502,91
227673,758503,92
227674,758504,89
227674,758505,90
227675,758506,89
227675,758507,90
227675,758508,91
227675,758509,92
227676,758510,89
227676,758511,90
227676,758512,91
227676,758513,92
227677,758514,89
227677,758515,90
227677,758516,91
227678,758517,89
227678,758518,90
227678,758519,91
227678,758520,92
227679,758521,89
227679,758522,90
227680,758523,89
227680,758524,90
227680,758525,91
227680,758526,92
227681,758527,89
227681,758528,90
227681,758529,91
227681,758530,92
227682,758531,89
227682,758532,90
227682,758533,91
227682,758534,92
227683,758535,89
227683,758536,90
227684,758537,89
227684,758538,90
227684,758539,91
227684,758540,92
227685,758541,89
227685,758542,90
227685,758543,91
227685,758544,92
227686,758545,89
227686,758546,90
227686,758547,91
227686,758548,92
227687,758549,89
227687,758550,90
227687,758551,91
227687,758552,92
227688,758553,89
227688,758554,90
227689,758555,89
227689,758556,90
227689,758557,91
227689,758558,92
227690,758559,89
227690,758560,90
227690,758561,91
227690,758562,92
227691,758563,89
227691,758564,90
227691,758565,91
227692,758566,89
227692,758567,90
227692,758568,91
227692,758569,92
227693,758570,89
227693,758571,90
227693,758572,91
227693,758573,92
227694,758574,89
227694,758575,90
227694,758576,91
227694,758577,92
227695,758578,89
227695,758579,90
227695,758580,91
227696,758581,89
227696,758582,90
227697,758583,89
227697,758584,90
227698,758585,89
227698,758586,90
227698,758587,91
227698,758588,92
227699,758589,89
227699,758590,90
227699,758591,91
227699,758592,92
227700,758593,89
227700,758594,90
227700,758595,91
227701,758596,89
227701,758597,90
227701,758598,91
227701,758599,92
227702,758600,89
227702,758601,90
227702,758602,91
227702,758603,92
227703,758604,89
227703,758605,90
227703,758606,91
227704,758607,89
227704,758608,90
227704,758609,91
227704,758610,92
227705,758611,89
227705,758612,90
227705,758613,91
227706,758614,89
227706,758615,90
227706,758616,91
227706,758617,92
227707,758618,89
227707,758619,90
227707,758620,91
227707,758621,92
227708,758622,89
227708,758623,90
227708,758624,91
227708,758625,92
227709,758626,89
227709,758627,90
227709,758628,91
227710,758629,89
227710,758630,90
227710,758631,91
227710,758632,92
227712,758634,89
227712,758635,90
227712,758636,91
227712,758637,92
227713,758638,89
227713,758639,90
227713,758640,91
227713,758641,92
227714,758642,89
227714,758643,90
227714,758644,91
227714,758645,92
227715,758646,89
227715,758647,90
227715,758648,91
227715,758649,92
227716,758650,89
227716,758651,90
227716,758652,91
227717,758653,89
227717,758654,90
227717,758655,91
227717,758656,92
227718,758657,89
227718,758658,90
227719,758659,89
227719,758660,90
227719,758661,91
227719,758662,92
227720,758663,89
227720,758664,90
227721,758665,89
227721,758666,90
227721,758667,91
227721,758668,92
227722,758669,89
227722,758670,90
227722,758671,91
227723,758672,89
227723,758673,90
227723,758674,91
227723,758675,92
227724,758676,89
227724,758677,90
227724,758678,91
227724,758679,92
227725,758680,89
227725,758681,90
227725,758682,91
227725,758683,92
227727,758685,89
227727,758686,90
227728,758687,89
227728,758688,90
227728,758689,91
227729,758690,89
227729,758691,90
227729,758692,91
227729,758693,92
227730,758694,89
227730,758695,90
227730,758696,91
227732,758698,89
227732,758699,90
227732,758700,91
227732,758701,92
227733,758702,89
227733,758703,90
227733,758704,91
227734,758705,89
227734,758706,90
227734,758707,91
227734,758708,92
227735,758709,89
227735,758710,90
227735,758711,91
227735,758712,92
227736,758713,89
227736,758714,90
227736,758715,91
227736,758716,92
227738,758718,89
227738,758719,90
227738,758720,91
227738,758721,92
227739,758722,89
227739,758723,90
227739,758724,91
227740,758725,89
227740,758726,90
227740,758727,91
227740,758728,92
227741,758729,89
227741,758730,90
227741,758731,91
227742,758732,89
227742,758733,90
227742,758734,91
227742,758735,92
227743,758736,89
227743,758737,90
227743,758738,91
227743,758739,92
227744,758740,89
227744,758741,90
227744,758742,91
227744,758743,92
227669,758485,89
227669,758486,90
227669,758487,91
227670,758488,89
227670,758489,90
227670,758490,91
227670,758491,92
227671,758492,89
227671,758493,90
227671,758494,91
227671,758495,92
227672,758496,89
227672,758497,90
227672,758498,91
227672,758499,92
227750,758760,89
227750,758761,90
227750,758762,91
227751,758763,89
227751,758764,90
227751,758765,91
227751,758766,92
227752,758767,89
227752,758768,90
227753,758769,89
227753,758770,90
227755,758772,89
227755,758773,90
227755,758774,91
227756,758775,89
227756,758776,90
227756,758777,91
227756,758778,92
227757,758779,89
227757,758780,90
227757,758781,91
227757,758782,92
227758,758783,89
227758,758784,90
227758,758785,91
227759,758786,89
227759,758787,90
227761,758789,89
227761,758790,90
227761,758791,91
227761,758792,92
227762,758793,89
227762,758794,90
227762,758795,91
227763,758796,89
227763,758797,90
227765,758799,89
227765,758800,90
227765,758801,91
227767,758803,89
227767,758804,90
227768,758805,89
227768,758806,90
227768,758807,91
227768,758808,92
227769,758809,89
227769,758810,90
227770,758811,89
227770,758812,90
227770,758813,91
227772,758815,89
227772,758816,90
227772,758817,91
227772,758818,92
227774,758820,89
227774,758821,90
227775,758822,89
227775,758823,90
227775,758824,91
227776,758825,89
227776,758826,90
227776,758827,91
227776,758828,92
227778,758830,89
227778,758831,90
227778,758832,91
227778,758833,92
227779,758834,89
227779,758835,90
227779,758836,91
227780,758837,89
227780,758838,90
227782,758840,89
227782,758841,90
227782,758842,91
227783,758843,89
227783,758844,90
227783,758845,91
227783,758846,92
227784,758847,89
227784,758848,90
227786,758850,89
227786,758851,90
227786,758852,91
227787,758853,89
227787,758854,90
227788,758855,89
227788,758856,90
227788,758857,91
227788,758858,92
227789,758859,89
227789,758860,90
227789,758861,91
227790,758862,89
227790,758863,90
227792,758865,89
227792,758866,90
227792,758867,91
227792,758868,92
227793,758869,89
227793,758870,90
227793,758871,91
227794,758872,89
227794,758873,90
227794,758874,91
227794,758875,92
227795,758876,89
227795,758877,90
227797,758879,89
227797,758880,90
227798,758881,89
227798,758882,90
227798,758883,91
227799,758884,89
227799,758885,90
227799,758886,91
227799,758887,92
227801,758889,89
227801,758890,90
227801,758891,91
227802,758892,89
227802,758893,90
227803,758894,89
227803,758895,90
227803,758896,91
227803,758897,92
227806,758900,89
227806,758901,90
227806,758902,91
227807,758903,89
227807,758904,90
227807,758905,91
227807,758906,92
227808,758907,89
227808,758908,90
227810,758910,89
227810,758911,90
227811,758912,89
227811,758913,90
227811,758914,91
227812,758915,89
227812,758916,90
227812,758917,91
227812,758918,92
227813,758919,89
227813,758920,90
227814,758921,89
227814,758922,90
227814,758923,91
227814,758924,92
227816,758926,89
227816,758927,90
227816,758928,91
227818,758930,89
227818,758931,90
227818,758932,91
227819,758933,89
227819,758934,90
227819,758935,91
227819,758936,92
227820,758937,89
227820,758938,90
227822,758940,89
227822,758941,90
227823,758942,89
227823,758943,90
227823,758944,91
227823,758945,92
227824,758946,89
227824,758947,90
227824,758948,91
227825,758949,89
227825,758950,90
227825,758951,91
227826,758952,89
227826,758953,90
227828,758955,89
227828,758956,90
227828,758957,91
227828,758958,92
227829,758959,89
227829,758960,90
227831,758962,89
227831,758963,90
227831,758964,91
227831,758965,92
227832,758966,89
227832,758967,90
227832,758968,91
227833,758969,89
227833,758970,90
227833,758971,91
227833,758972,92
227835,758974,89
227835,758975,90
227835,758976,91
227836,758977,89
227836,758978,90
227837,758979,89
227837,758980,90
227837,758981,91
227837,758982,92
227838,758983,89
227838,758984,90
227838,758985,91
227840,758987,89
227840,758988,90
227842,758990,89
227842,758991,90
227842,758992,91
227843,758993,89
227843,758994,90
227844,758995,89
227844,758996,90
227844,758997,91
227844,758998,92
227845,758999,89
227845,759000,90
227847,759002,89
227847,759003,90
227847,759004,91
227848,759005,89
227848,759006,90
227848,759007,91
227848,759008,92
227849,759009,89
227849,759010,90
227849,759011,91
227849,759012,92
227850,759013,89
227850,759014,90
227850,759015,91
227852,759017,89
227852,759018,90
227853,759019,89
227853,759020,90
227853,759021,91
227855,759023,89
227855,759024,90
227855,759025,91
227855,759026,92
227856,759027,89
227856,759028,90
227857,759029,89
227857,759030,90
227859,759032,89
227859,759033,90
227859,759034,91
227859,759035,92
227860,759036,89
227860,759037,90
227860,759038,91
227861,759039,89
227861,759040,90
227861,759041,91
227861,759042,92
227862,759043,89
227862,759044,90
227862,759045,91
227863,759046,89
227863,759047,90
227865,759049,89
227865,759050,90
227865,759051,91
227866,759052,89
227866,759053,90
227868,759055,89
227868,759056,90
227868,759057,91
227868,759058,92
227869,759059,89
227869,759060,90
227869,759061,91
227869,759062,92
227871,759064,89
227871,759065,90
227871,759066,91
227872,759067,89
227872,759068,90
227873,759069,89
227873,759070,90
227873,759071,91
227873,759072,92
227874,759073,89
227874,759074,90
227875,759075,89
227875,759076,90
227875,759077,91
227878,759080,89
227878,759081,90
227878,759082,91
227879,759083,89
227879,759084,90
227879,759085,91
227879,759086,92
227880,759087,89
227880,759088,90
227882,759090,89
227882,759091,90
227882,759092,91
227882,759093,92
227883,759094,89
227883,759095,90
227884,759096,89
227884,759097,90
227884,759098,91
227885,759099,89
227885,759100,90
227886,759101,89
227886,759102,90
227886,759103,91
227888,759105,89
227888,759106,90
227888,759107,91
227888,759108,92
227889,759109,89
227889,759110,90
227889,759111,91
227890,759112,89
227890,759113,90
227890,759114,91
227890,759115,92
227891,759116,89
227891,759117,90
227893,759119,89
227893,759120,90
227893,759121,91
227895,759123,89
227895,759124,90
227896,759125,89
227896,759126,90
227896,759127,91
227896,759128,92
227897,759129,89
227897,759130,90
227897,759131,91
227898,759132,89
227898,759133,90
227898,759134,91
227898,759135,92
227900,759137,89
227900,759138,90
227902,759140,89
227902,759141,90
227902,759142,91
227902,759143,92
227903,759144,89
227903,759145,90
227904,759146,89
227904,759147,90
227904,759148,91
227905,759149,89
227905,759150,90
227905,759151,91
227905,759152,92
227906,759153,89
227906,759154,90
227906,759155,91
227908,759157,89
227908,759158,90
227909,759159,89
227909,759160,90
227909,759161,91
227909,759162,92
227911,759164,89
227911,759165,90
227911,759166,91
227912,759167,89
227912,759168,90
227913,759169,89
227913,759170,90
227913,759171,91
227913,759172,92
227915,759174,89
227915,759175,90
227915,759176,91
227916,759177,89
227916,759178,90
227918,759180,89
227918,759181,90
227919,759182,89
227919,759183,90
227919,759184,91
227919,759185,92
227920,759186,89
227920,759187,90
227920,759188,91
227921,759189,89
227921,759190,90
