ID,NodeFrom,NodeTo,R,G,X,B,Pmin,Pmax,Qmin,Qmax,S,Charge,Tap,Shift
233,1223,1023,0.000003,0,0.000037,6.08,0,0,0,0,941.4,0,1,0
234,1028,1211,0,0,0,0,0,0,0,0,463.5,0,1,0
235,1302,1318,0.000058,0,0.000186,2.642238,0,0,0,0,74.7,0,1,0
236,1222,1315,0.000033,0,0.000211,32.911887,0,0,0,0,137.3625,0,1,0
237,1240,1276,0.000011,0,0.000111,15.677624,0,0,0,0,170.1,0,1,0
238,1209,1241,0.000009,0,0.00012,17.863448,0,0,0,0,576,0,1,0
239,1209,1253,0.000003,0,0.000041,19.116952,0,0,0,0,437.4,0,1,0
240,1221,1241,0.00001,0,0.00014,21.414176,0,0,0,0,432,0,1,0
241,1223,1228,0.000009,0,0.000131,19.58796,0,0,0,0,993.6,0,1,0
242,1226,1228,0.000006,0,0.000055,31.664488,0,0,0,0,369.9,0,1,0
243,1264,1263,0.000053,0,0.000335,52.25874,0,0,0,0,134.3925,0,1,0
244,1268,1272,0.000016,0,0.000113,16.692554,0,0,0,0,130.68,0,1,0
245,1303,1240,0.000018,0,0.000148,1.468815,0,0,0,0,158.4,0,1,0
246,1299,1271,0.000052,0,0.000366,12.26664,0,0,0,0,107.6625,0,1,0
247,1269,1316,0.00001,0,0.000045,5.564983,0,0,0,0,79.4475,0,1,0
248,1269,1308,0.000028,0,0.000151,17.063206,0,0,0,0,111.375,0,1,0
249,1269,1235,0.000023,0,0.000122,0.343541,0,0,0,0,124.74,0,1,0
250,1269,1235,0.000023,0,0.000122,0.343541,0,0,0,0,124.74,0,1,0
251,1296,1308,0.000037,0,0.000183,21.176337,0,0,0,0,34.2,0,1,0
252,1296,1235,0.000135,0,0.00044,19.74845,0,0,0,0,108.405,0,1,0
253,1235,1273,0.000228,0,0.000768,5.498362,0,0,0,0,96.525,0,1,0
254,1286,1273,0.000066,0,0.000356,0.96901,0,0,0,0,124.74,0,1,0
255,1286,1252,0.000097,0,0.000527,1.398644,0,0,0,0,124.74,0,1,0
256,1283,1299,0.000001,0,0.000011,2.209243,0,0,0,0,138.105,0,1,0
257,1283,1312,0.00001,0,0.000087,17.139271,0,0,0,0,166.5,0,1,0
258,1210,1274,0.000059,0,0.000365,2.979188,0,0,0,0,111.375,0,1,0
259,1283,1210,0.000007,0,0.000059,10.555277,0,0,0,0,138.105,0,1,0
260,1302,1332,0.000002,0,0.000007,0.017314,0,0,0,0,107.6625,0,1,0
261,1270,1332,0.000125,0,0.000414,1.099661,0,0,0,0,107.6625,0,1,0
262,1270,1271,0.000236,0,0.000776,3.71069,0,0,0,0,63.855,0,1,0
263,1290,1275,0.000033,0,0.000274,0.899131,0,0,0,0,204.93,0,1,0
264,1305,1310,0.000053,0,0.000125,22.458312,0,0,0,0,66.0825,0,1,0
265,1305,1250,0.000032,0,0.000196,30.794984,0,0,0,0,88.0605,0,1,0
266,1250,1310,0.00008,0,0.000288,23.125907,0,0,0,0,66.0825,0,1,0
267,1275,1274,0.00001,0,0.000032,-11.699848,0,0,0,0,111.375,0,1,0
268,1290,1250,0.000035,0,0.000279,5.949373,0,0,0,0,117.315,0,1,0
269,1306,1250,0.000013,0,0.000112,0.352113,0,0,0,0,204.93,0,1,0
270,1293,1306,0.000005,0,0.000047,9.412561,0,0,0,0,168.399,0,1,0
271,1322,1250,0.000021,0,0.000176,0.554505,0,0,0,0,204.93,0,1,0
272,1277,1231,0.000046,0,0.00037,1.804945,0,0,0,0,291.06,0,1,0
273,1300,1231,0.000011,0,0.000115,0.589917,0,0,0,0,204.93,0,1,0
274,1278,1317,0.000079,0,0.000425,1.170071,0,0,0,0,145.53,0,1,0
275,1200,1317,0.000005,0,0.000041,6.109297,0,0,0,0,145.8,0,1,0
276,1315,1263,0.000033,0,0.000112,22.091205,0,0,0,0,106.92,0,1,0
277,1291,1263,0.000197,0,0.00067,1.67475,0,0,0,0,110.7,0,1,0
278,1291,1319,0.000103,0,0.000351,0.83639,0,0,0,0,118.8,0,1,0
279,1267,1319,0.000173,0,0.000587,3.349782,0,0,0,0,106.92,0,1,0
280,1219,1267,0.000086,0,0.000233,14.062563,0,0,0,0,97.2675,0,1,0
281,1277,1278,0.000037,0,0.000277,4.798672,0,0,0,0,129.9375,0,1,0
282,1278,1229,0.000024,0,0.000165,7.578,0,0,0,0,152.1,0,1,0
283,1267,1304,0.000078,0,0.000282,7.315034,0,0,0,0,107.6625,0,1,0
284,1267,1304,0.000078,0,0.000282,7.315034,0,0,0,0,107.6625,0,1,0
285,1287,1304,0.000013,0,0.000043,0.116851,0,0,0,0,108.405,0,1,0
286,1304,1311,0.000065,0,0.000365,3.685331,0,0,0,0,107.6625,0,1,0
287,1297,1304,0.000136,0,0.000787,4.880796,0,0,0,0,107.6625,0,1,0
288,1297,1224,0.000024,0,0.00021,42.290238,0,0,0,0,189,0,1,0
289,1205,1304,0.000043,0,0.000224,0.641748,0,0,0,0,145.53,0,1,0
290,1205,1304,0.000043,0,0.000224,0.641748,0,0,0,0,145.53,0,1,0
291,1205,1289,0.000017,0,0.000106,16.556014,0,0,0,0,137.3625,0,1,0
292,1229,1313,0.000015,0,0.000133,11.219319,0,0,0,0,168.399,0,1,0
293,1295,1229,0.00001,0,0.000085,17.141467,0,0,0,0,168.399,0,1,0
294,1229,1328,0.000011,0,0.0001,0.282468,0,0,0,0,204.93,0,1,0
295,1313,1328,0.00002,0,0.00013,3.487844,0,0,0,0,86.8725,0,1,0
296,1224,1192,0.000014,0,0.000087,13.598392,0,0,0,0,116.1,0,1,0
297,1192,1224,0.000014,0,0.000087,13.598392,0,0,0,0,100.8,0,1,0
298,1282,1279,0.000056,0,0.000356,35.594534,0,0,0,0,111.375,0,1,0
299,1281,1314,0.000074,0,0.000531,1.385076,0,0,0,0,147.015,0,1,0
300,1298,1295,0.00004,0,0.000272,0.554144,0,0,0,0,172.26,0,1,0
301,1298,1280,0.000064,0,0.000363,0.8878,0,0,0,0,145.53,0,1,0
302,1224,1280,0.000045,0,0.000406,1.143796,0,0,0,0,204.93,0,1,0
303,1216,1314,0.000054,0,0.000467,2.929387,0,0,0,0,114.345,0,1,0
304,1216,1195,0.00002,0,0.000102,6.905052,0,0,0,0,111.375,0,1,0
305,1216,1309,0.000012,0,0.000081,0.23375,0,0,0,0,172.26,0,1,0
306,1195,1294,0.000032,0,0.00019,31.399721,0,0,0,0,112.86,0,1,0
307,1294,1227,0.00001,0,0.000027,8.416961,0,0,0,0,106.92,0,1,0
308,1199,1333,0.000005,0,0.000088,17.47052,0,0,0,0,864,0,1,0
309,1211,1228,0.000013,0,0.000135,43.07068,0,0,0,0,330.48,0,1,0
310,1211,1226,0.000007,0,0.000078,11.328256,0,0,0,0,878.4,0,1,0
311,1195,1309,0.000014,0,0.000025,6.738017,0,0,0,0,111.375,0,1,0
312,1271,1318,0.000119,0,0.000392,1.040689,0,0,0,0,107.6625,0,1,0
313,1307,1250,0.00003,0,0.00025,0.792725,0,0,0,0,178.2,0,1,0
314,1325,1249,0.000002,0,0.000024,4.14088,0,0,0,0,432,0,1,0
315,1210,1271,0.000039,0,0.000321,1.068056,0,0,0,0,178.2,0,1,0
316,1211,1196,0.000002,0,0.000027,3.991832,0,0,0,0,878.4,0,1,0
317,1228,1329,0.000001,0,0.000014,2.020504,0,0,0,0,432,0,1,0
318,1232,1253,0,0,0.000005,0.87424,0,0,0,0,864,0,1,0
319,1322,1250,0.000021,0,0.000176,0.554505,0,0,0,0,204.93,0,1,0
320,1267,1304,0.00008,0,0.00029,7.958893,0,0,0,0,106.92,0,1,0
321,1285,1276,0.000017,0,0.00016,22.571327,0,0,0,0,137.3625,0,1,0
322,1230,1249,0.000004,0,0.000054,9.425152,0,0,0,0,648,0,1,0
323,1224,1192,0.000014,0,0.000087,13.565035,0,0,0,0,116.1,0,1,0
324,1337,1231,0.000024,0,0.000202,0.673203,0,0,0,0,204.93,0,1,0
325,1300,1250,0.000041,0,0.000346,1.141995,0,0,0,0,204.93,0,1,0
326,1206,1220,0.000164,0,0.000414,57.019048,0,0,0,0,231.3,0,1,0
327,1264,1272,0.000037,0,0.000234,7.103491,0,0,0,0,134.3925,0,1,0
328,1275,1301,0.000017,0,0.000056,12.294971,0,0,0,0,106.92,0,1,0
329,1284,1303,0.000026,0,0.000244,32.241419,0,0,0,0,149.985,0,1,0
330,1284,1339,0,0,0,0,0,0,0,0,1484.8515,0,1,0
331,1268,1340,0,0,0,0,0,0,0,0,1484.8515,0,1,0
332,1298,1289,0.000028,0,0.000551,27.463638,0,0,0,0,137.3625,0,1,0
333,1192,1021,0.00007,0,0.00034,4.237891,0,0,0,0,201.6,0,1,0
334,1200,1291,0.000025,0,0.000214,43.085666,0,0,0,0,168.399,0,1,0
335,1297,1311,0.000071,0,0.000422,1.251047,0,0,0,0,222.75,0,1,0
336,1201,1333,0.000005,0,0.000088,17.47052,0,0,0,0,1440,0,1,0
337,1313,1294,0.000034,0,0.000581,33.35667,0,0,0,0,111.375,0,1,0
338,1199,1241,0.000007,0,0.000112,55.054216,0,0,0,0,775.08,0,1,0
339,1228,1230,0.00001,0,0.000144,41.828368,0,0,0,0,776.88,0,1,0
340,1209,1232,0.000003,0,0.000029,6.778,0,0,0,0,496.8,0,1,0
341,1209,1249,0.000013,0,0.000159,46.55376,0,0,0,0,504,0,1,0
342,1331,1251,0.000039,0,0.000295,104.227829,0,0,0,0,428.4,0,1,0
343,1228,1333,0.000002,0,0.000027,9.520648,0,0,0,0,776.88,0,1,0
344,1208,1338,0.000041,0,0.000262,93.099292,0,0,0,0,428.4,0,1,0
345,1270,1269,0.000059,0,0.000203,2.019488,0,0,0,0,142.56,0,1,0
346,1222,1263,0.000034,0,0.000123,3.093492,0,0,0,0,137.3625,0,1,0
347,1222,1265,0.000064,0,0.00022,2.184164,0,0,0,0,213.84,0,1,0
348,1267,1266,0.000064,0,0.000218,2.16908,0,0,0,0,220.5,0,1,0
349,1223,1333,0.000006,0,0.000094,42.462832,0,0,0,0,1093.5,0,1,0
350,1223,1333,0.000006,0,0.000091,42.678272,0,0,0,0,1099.8,0,1,0
351,1320,1304,0.000003,0,0.000041,2.232873,0,0,0,0,213.0975,0,1,0
352,1322,1250,0.00001,0,0.000084,1.12583,0,0,0,0,409.7115,0,1,0
353,1271,1240,0.000082,0,0.000279,2.90726,0,0,0,0,265.815,0,1,0
354,1201,1241,0.000007,0,0.000112,83.934608,0,0,0,0,775.08,0,1,0
355,1192,1279,0.000067,0,0.000368,2.296853,0,0,0,0,150.3,0,1,0
356,1266,1265,0.000048,0,0.000164,1.63055,0,0,0,0,213.84,0,1,0
357,1276,1250,0.00008,0,0.000489,4.949282,0,0,0,0,222.75,0,1,0
358,1276,1250,0.00008,0,0.000471,4.991113,0,0,0,0,222.75,0,1,0
388,1192,1193,0.000006,0,0.000112,0,0,0,0,0,801,0,0.12069,0
389,1196,1198,0.000011,0,0.00022,0,0,0,0,0,409.5,0,0.048499,0
390,1195,1197,0.000111,0,0.002222,0,0,0,0,0,40.5,0,0.063636,0
391,1199,1200,0.000026,0,0.000516,0,0,0,0,0,180,0,0.337118,0
392,1202,1206,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336958,0
393,1202,1208,0.000012,0,0.000234,0,0,0,0,0,405,0,0.522284,0
394,1209,1210,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
395,1211,1216,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
396,1211,1216,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
397,1221,1222,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
398,1223,1224,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
399,1223,1224,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
400,1226,1227,0.000026,0,0.000516,0,0,0,0,0,180,0,0.337077,0
401,1228,1229,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
402,1230,1231,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336958,0
403,1232,1235,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336958,0
404,1232,1233,0.00001,0,0.000206,0,0,0,0,0,436.5,0,0.049846,0
405,1235,1234,0.000014,0,0.000286,0,0,0,0,0,315,0,0.127273,0
406,1236,1246,0.000026,0,0.000514,0,0,0,0,0,162,0,0.07485,0
407,1241,1240,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
408,1247,1248,0.0018,0,0.036,0,0,0,0,0,0.9,0,1,0
409,1249,1250,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336835,0
410,1249,1251,0.000012,0,0.000234,0,0,0,0,0,405,0,0.523098,0
411,1249,1251,0.000012,0,0.000234,0,0,0,0,0,405,0,0.523098,0
412,1253,1252,0.000013,0,0.000258,0,0,0,0,0,360,0,0.336958,0
413,1281,1282,0.000014,0,0.000286,0,0,0,0,0,315,0,1,0
414,1192,1292,0.000049,0,0.00098,0,0,0,0,0,91.8,0,0.069697,0
415,1320,1321,0.000011,0,0.000219,0,0,0,0,0,411.75,0,0.108139,0
416,1322,1323,0.000011,0,0.00022,0,0,0,0,0,409.5,0,0.109827,0
417,1325,1324,0.000011,0,0.00022,0,0,0,0,0,409.5,0,0.044393,0
418,1329,1326,0.00001,0,0.000206,0,0,0,0,0,436.5,0,0.048905,0
425,1202,2007,0.000012,0,0.00025,0,0,0,0,0,360,0,1,0
426,1211,2008,0.00002,0,0.000392,0,0,0,0,0,229.5,0,1,0
427,1241,2009,0.000008,0,0.000167,0,0,0,0,0,626.4,0,1,0
428,1252,2010,0.00004,0,0.0008,0,0,0,0,0,112.5,0,1,0
435,1205,2007,0.000012,0,0.00025,0,0,0,0,0,360,0,2.022814,0
436,1217,2008,0.00002,0,0.000392,0,0,0,0,0,229.5,0,25.316456,0
437,1236,2009,0.000008,0,0.000167,0,0,0,0,0,540,0,2.027983,0
438,1262,2010,0.00004,0,0.0008,0,0,0,0,0,112.5,0,14.224138,0
445,1207,2007,0.000012,0,0.00025,0,0,0,0,0,360,0,27.333333,0
446,1218,2008,0.00002,0,0.000392,0,0,0,0,0,229.5,0,40,0
447,1248,2009,0.000008,0,0.000167,0,0,0,0,0,540,0,41,0
448,1261,2010,0.00004,0,0.0008,0,0,0,0,0,112.5,0,11.772115,0
21920000,21920000,1192,0.000703,0,0.014063,0,0,0,0,0,90000,0,1,0
21950001,21950083,1195,0.000302,0,0.001511,0,0,0,0,0,21.8784,0,1,0
21950002,21950080,21950083,0.00389,0,0.00255,0,0,0,0,0,7.2928,0,1,0
21950003,21950079,21950060,0.00377,0,0.00039,0,0,0,0,0,2.1096,0,1,0
21950004,21950004,21950083,0.00217,0,0.00094,0,0,0,0,0,5.656,0,1,0
21950005,21950084,21950012,0.00425,0,0.00114,0,0,0,0,0,3.7464,0,1,0
21950006,21950043,21950000,0.00145,0,0.00035,0,0,0,0,0,3.7464,0,1,0
21950007,21950001,21950064,0.00128,0,0.00039,0,0,0,0,0,4.383,0,1,0
21950008,21950045,21950001,0.00401,0,0.00123,0,0,0,0,0,4.383,0,1,0
21950009,21950068,21950004,0.00245,0,0.00106,0,0,0,0,0,5.656,0,1,0
21950010,21950010,21950068,0.00245,0,0.00106,0,0,0,0,0,5.656,0,1,0
21950011,21950039,21950010,0.00258,0,0.00112,0,0,0,0,0,5.656,0,1,0
21950012,21950054,21950010,0.0032,0,0.00076,0,0,0,0,0,3.7464,0,1,0
21950013,21950060,21950011,0.00312,0,0.00052,0,0,0,0,0,3.1099,0,1,0
21950014,21950061,21950011,0.00722,0,0.00121,0,0,0,0,0,3.1099,0,1,0
21950015,21950011,21950041,0.00552,0,0.00092,0,0,0,0,0,3.1099,0,1,0
21950016,21950012,21950041,0.00215,0,0.00066,0,0,0,0,0,4.383,0,1,0
21950017,21950066,21950013,0.01094,0,0.00114,0,0,0,0,0,2.1096,0,1,0
21950018,21950041,21950014,0.00208,0,0.00064,0,0,0,0,0,4.383,0,1,0
21950019,21950014,21950045,0.00331,0,0.00101,0,0,0,0,0,4.383,0,1,0
21950020,21950085,21950043,0.00144,0,0.00034,0,0,0,0,0,3.7464,0,1,0
21950021,21950000,21950024,0.00038,0,0.00009,0,0,0,0,0,3.7464,0,1,0
21950022,21950086,21950049,0.00157,0,0.00035,0,0,0,0,0,2.4734,0,1,0
21950023,21950031,21950058,0.00173,0,0.00028,0,0,0,0,0,2.4734,0,1,0
21950024,21950058,21950039,0.00073,0,0.00022,0,0,0,0,0,4.383,0,1,0
21950025,21950081,21950039,0.00251,0,0.00077,0,0,0,0,0,4.383,0,1,0
21950026,21950024,21950039,0.00099,0,0.00023,0,0,0,0,0,3.7464,0,1,0
21950027,21950040,21950068,0.00785,0,0.001,0,0,0,0,0,2.4734,0,1,0
21950028,21950003,21950040,0.0057,0,0.00095,0,0,0,0,0,3.1099,0,1,0
21950029,21950013,21950040,0.01094,0,0.00114,0,0,0,0,0,2.1096,0,1,0
21950030,21950049,21950058,0.00148,0,0.00033,0,0,0,0,0,2.4734,0,1,0
21950031,21950064,21950054,0.00299,0,0.00092,0,0,0,0,0,4.383,0,1,0
21950032,21950037,21950078,0.00267,0,0.00034,0,0,0,0,0,2.4734,0,1,0
21950033,21950017,21950083,0.00121,0,0.00041,0,0,0,0,0,4.7467,0,1,0
21950034,21950052,21950002,0.00283,0,0.00122,0,0,0,0,0,5.656,0,1,0
21950035,21950073,21950008,0.00799,0,0.00133,0,0,0,0,0,3.1099,0,1,0
21950036,21950008,21950009,0.00331,0,0.00101,0,0,0,0,0,4.383,0,1,0
21950037,21950009,21950069,0.00276,0,0.00084,0,0,0,0,0,4.383,0,1,0
21950038,21950015,21950017,0.0012,0,0.00041,0,0,0,0,0,4.7467,0,1,0
21950039,21950038,21950015,0.00235,0,0.0008,0,0,0,0,0,4.7467,0,1,0
21950040,21950020,21950073,0.00209,0,0.00064,0,0,0,0,0,4.383,0,1,0
21950041,21950029,21950020,0.00407,0,0.00052,0,0,0,0,0,2.4734,0,1,0
21950042,21950034,21950020,0.00496,0,0.00152,0,0,0,0,0,4.383,0,1,0
21950043,21950069,21950023,0.00184,0,0.00044,0,0,0,0,0,3.7464,0,1,0
21950044,21950023,21950052,0.00185,0,0.0008,0,0,0,0,0,5.656,0,1,0
21950045,21950032,21950028,0.00814,0,0.00104,0,0,0,0,0,2.4734,0,1,0
21950046,21950078,21950029,0.00314,0,0.0004,0,0,0,0,0,2.4734,0,1,0
21950047,21950028,21950029,0.00616,0,0.00079,0,0,0,0,0,2.4734,0,1,0
21950048,21950050,21950032,0.00692,0,0.00089,0,0,0,0,0,2.4734,0,1,0
21950049,21950090,21950034,0.00354,0,0.00084,0,0,0,0,0,3.7464,0,1,0
21950050,21950074,21950037,0.0036,0,0.0006,0,0,0,0,0,3.1099,0,1,0
21950051,21950002,21950038,0.00142,0,0.00062,0,0,0,0,0,5.656,0,1,0
21950052,21950088,21950038,0.00191,0,0.00082,0,0,0,0,0,5.656,0,1,0
21950053,21950089,21950076,0.00123,0,0.00053,0,0,0,0,0,5.656,0,1,0
21950054,21950076,21950052,0.00476,0,0.00206,0,0,0,0,0,5.656,0,1,0
21950055,21950056,21950055,0.00167,0,0.0004,0,0,0,0,0,3.7464,0,1,0
21950056,21950057,21950056,0.00253,0,0.0006,0,0,0,0,0,3.7464,0,1,0
21950057,21950072,21950057,0.00195,0,0.0006,0,0,0,0,0,4.383,0,1,0
21950058,21950091,21950075,0.0027,0,0.00117,0,0,0,0,0,5.656,0,1,0
21950059,21950092,21950059,0.00439,0,0.00162,0,0,0,0,0,4.383,0,1,0
21950060,21950062,21950072,0.0042,0,0.00182,0,0,0,0,0,5.656,0,1,0
21950061,21950075,21950067,0.00051,0,0.00022,0,0,0,0,0,5.656,0,1,0
21950062,21950048,21950072,0.00353,0,0.00084,0,0,0,0,0,3.7464,0,1,0
21950063,21950082,21950035,0.00019,0,0.00008,0,0,0,0,0,5.656,0,1,0
21950064,21950018,21950083,0.00771,0,0.00333,0,0,0,0,0,5.656,0,1,0
21950065,21950005,21950059,0.0036,0,0.0011,0,0,0,0,0,4.383,0,1,0
21950066,21950006,21950005,0.00746,0,0.00228,0,0,0,0,0,4.383,0,1,0
21950067,21950051,21950005,0.0021,0,0.00064,0,0,0,0,0,4.383,0,1,0
21950068,21950077,21950006,0.00276,0,0.00084,0,0,0,0,0,4.383,0,1,0
21950069,21950065,21950007,0.00686,0,0.00115,0,0,0,0,0,3.1099,0,1,0
21950070,21950007,21950047,0.00057,0,0.00017,0,0,0,0,0,4.383,0,1,0
21950071,21950070,21950016,0.00213,0,0.00065,0,0,0,0,0,4.383,0,1,0
21950072,21950016,21950025,0.00226,0,0.00069,0,0,0,0,0,4.383,0,1,0
21950073,21950036,21950016,0.00355,0,0.00045,0,0,0,0,0,2.4734,0,1,0
21950074,21950055,21950018,0.00163,0,0.00039,0,0,0,0,0,3.7464,0,1,0
21950075,21950044,21950018,0.00654,0,0.00092,0,0,0,0,0,2.4734,0,1,0
21950076,21950019,21950027,0.00238,0,0.00073,0,0,0,0,0,4.383,0,1,0
21950077,21950021,21950070,0.00413,0,0.00053,0,0,0,0,0,2.4734,0,1,0
21950078,21950033,21950021,0.00372,0,0.00048,0,0,0,0,0,2.4734,0,1,0
21950079,21950022,21950025,0.0034,0,0.00068,0,0,0,0,0,2.4734,0,1,0
21950080,21950025,21950057,0.00247,0,0.00059,0,0,0,0,0,3.7464,0,1,0
21950081,21950026,21950067,0.00689,0,0.0012,0,0,0,0,0,2.4734,0,1,0
21950082,21950027,21950026,0.00363,0,0.00046,0,0,0,0,0,2.4734,0,1,0
21950083,21950030,21950065,0.00523,0,0.00087,0,0,0,0,0,3.1099,0,1,0
21950084,21950087,21950033,0.00398,0,0.00065,0,0,0,0,0,2.4734,0,1,0
21950085,21950035,21950062,0.00517,0,0.00224,0,0,0,0,0,5.656,0,1,0
21950086,21950046,21950035,0.00162,0,0.00055,0,0,0,0,0,4.7467,0,1,0
21950087,21950067,21950042,0.00154,0,0.00047,0,0,0,0,0,4.383,0,1,0
21950088,21950042,21950048,0.0021,0,0.00064,0,0,0,0,0,4.383,0,1,0
21950089,21950059,21950046,0.00232,0,0.00095,0,0,0,0,0,4.7467,0,1,0
21950090,21950063,21950046,0.00442,0,0.00057,0,0,0,0,0,2.4734,0,1,0
21950091,21950047,21950077,0.00537,0,0.00164,0,0,0,0,0,4.383,0,1,0
21950092,21950071,21950048,0.00465,0,0.0006,0,0,0,0,0,2.4734,0,1,0
21950093,21950053,21950067,0.00184,0,0.00052,0,0,0,0,0,3.7464,0,1,0
21950094,21950093,1195,0.00003,0,0.000095,0,0,0,0,0,500,0,1,0
22100001,22100020,1210,0.000302,0,0.001511,0,0,0,0,0,16.968,0,1,0
22100002,22100013,22100020,0.00123,0,0.00045,0,0,0,0,0,4.7467,0,1,0
22100003,22100005,22100020,0.00075,0,0.00028,0,0,0,0,0,4.7467,0,1,0
22100004,22100010,22100020,0.0033,0,0.00143,0,0,0,0,0,5.656,0,1,0
22100005,22100012,22100000,0.01238,0,0.00207,0,0,0,0,0,3.1099,0,1,0
22100006,22100018,22100000,0.00849,0,0.00142,0,0,0,0,0,3.1099,0,1,0
22100007,22100000,22100002,0.00575,0,0.00185,0,0,0,0,0,4.383,0,1,0
22100008,22100006,22100000,0.00588,0,0.0018,0,0,0,0,0,4.383,0,1,0
22100009,22100015,22100001,0.01287,0,0.00134,0,0,0,0,0,2.1096,0,1,0
22100010,22100016,22100001,0.01524,0,0.00159,0,0,0,0,0,2.1096,0,1,0
22100011,22100001,22100017,0.00782,0,0.00131,0,0,0,0,0,3.1099,0,1,0
22100012,22100019,22100006,0.00544,0,0.00167,0,0,0,0,0,4.383,0,1,0
22100013,22100002,22100011,0.00885,0,0.00271,0,0,0,0,0,4.383,0,1,0
22100014,22100003,22100014,0.00338,0,0.00074,0,0,0,0,0,2.4734,0,1,0
22100015,22100011,22100003,0.00033,0,0.00008,0,0,0,0,0,3.7464,0,1,0
22100016,22100004,22100012,0.00674,0,0.00113,0,0,0,0,0,3.1099,0,1,0
22100017,22100007,22100018,0.0048,0,0.0008,0,0,0,0,0,3.1099,0,1,0
22100018,22100008,22100017,0.00555,0,0.00093,0,0,0,0,0,3.1099,0,1,0
22100019,22100014,22100010,0.00245,0,0.00106,0,0,0,0,0,5.656,0,1,0
22100020,22100017,22100011,0.00244,0,0.00041,0,0,0,0,0,3.1099,0,1,0
22100021,22100009,22100020,0.00164,0,0.00056,0,0,0,0,0,4.7467,0,1,0
22100022,22100021,1210,0.00003,0,0.000095,0,0,0,0,0,500,0,1,0
22160001,22160024,1216,0.000302,0,0.001511,0,0,0,0,0,21.8784,0,1,0
22160002,22160017,22160024,0.00266,0,0.00174,0,0,0,0,0,7.2928,0,1,0
22160003,22160018,22160024,0.00567,0,0.00432,0,0,0,0,0,3.7464,0,1,0
22160004,22160003,22160024,0.00205,0,0.0007,0,0,0,0,0,4.7467,0,1,0
22160005,22160002,22160000,0.0036,0,0.00048,0,0,0,0,0,2.1824,0,1,0
22160006,22160000,22160010,0.00278,0,0.00037,0,0,0,0,0,2.1824,0,1,0
22160007,22160015,22160000,0.001,0,0.00034,0,0,0,0,0,4.7467,0,1,0
