QtBid,QBids,QPDCID,QPDFrom,QPDTo,QPDMax
226475,754062,1588,-1,-1,1.08
226475,754063,1588,-1,-1,1.08
226475,754064,1588,-1,-1,1.08
226475,754065,1588,-1,-1,1.08
226476,754066,1589,-1,-1,0.54
226476,754067,1589,-1,-1,0.54
226476,754068,1589,-1,-1,0.54
226476,754069,1589,-1,-1,0.54
226477,754070,1590,-1,-1,1.89
226477,754071,1590,-1,-1,1.89
226477,754072,1590,-1,-1,1.89
226477,754073,1590,-1,-1,1.89
226478,754074,1591,-1,-1,11.7
226478,754075,1591,-1,-1,11.7
226478,754076,1591,-1,-1,11.7
226478,754077,1591,-1,-1,11.7
226479,754078,1592,-1,-1,24.075
226479,754079,1592,-1,-1,24.075
226479,754080,1592,-1,-1,24.075
226479,754081,1592,-1,-1,24.075
226480,754082,1593,-1,-1,9
226480,754083,1593,-1,-1,9
226480,754084,1593,-1,-1,9
226480,754085,1593,-1,-1,9
226481,754086,1594,-1,-1,6.165
226481,754087,1594,-1,-1,6.165
226481,754088,1594,-1,-1,6.165
226481,754089,1594,-1,-1,6.165
226482,754090,1595,-1,-1,2.385
226482,754091,1595,-1,-1,2.385
226482,754092,1595,-1,-1,2.385
226482,754093,1595,-1,-1,2.385
226483,754094,1596,-1,-1,9.36
226483,754095,1596,-1,-1,9.36
226483,754096,1596,-1,-1,9.36
226483,754097,1596,-1,-1,9.36
226484,754098,1597,-1,-1,1.845
226484,754099,1597,-1,-1,1.845
226484,754100,1597,-1,-1,1.845
226484,754101,1597,-1,-1,1.845
226485,754102,1598,-1,-1,21.96
226485,754103,1598,-1,-1,21.96
226485,754104,1598,-1,-1,21.96
226485,754105,1598,-1,-1,21.96
226486,754106,1599,-1,-1,17.64
226486,754107,1599,-1,-1,17.64
226486,754108,1599,-1,-1,17.64
226486,754109,1599,-1,-1,17.64
226487,754110,1600,-1,-1,15.12
226487,754111,1600,-1,-1,15.12
226487,754112,1600,-1,-1,15.12
226487,754113,1600,-1,-1,15.12
226488,754114,1601,-1,-1,6.93
226488,754115,1601,-1,-1,6.93
226488,754116,1601,-1,-1,6.93
226488,754117,1601,-1,-1,6.93
226489,754118,1602,-1,-1,12.06
226489,754119,1602,-1,-1,12.06
226489,754120,1602,-1,-1,12.06
226489,754121,1602,-1,-1,12.06
226490,754122,1603,-1,-1,12.015
226490,754123,1603,-1,-1,12.015
226490,754124,1603,-1,-1,12.015
226490,754125,1603,-1,-1,12.015
226491,754126,1604,-1,-1,10.575
226491,754127,1604,-1,-1,10.575
226491,754128,1604,-1,-1,10.575
226491,754129,1604,-1,-1,10.575
226492,754130,1605,-1,-1,0.585
226492,754131,1605,-1,-1,0.585
226492,754132,1605,-1,-1,0.585
226492,754133,1605,-1,-1,0.585
226493,754134,1606,-1,-1,5.94
226493,754135,1606,-1,-1,5.94
226493,754136,1606,-1,-1,5.94
226493,754137,1606,-1,-1,5.94
226494,754138,1607,-1,-1,6.93
226494,754139,1607,-1,-1,6.93
226494,754140,1607,-1,-1,6.93
226494,754141,1607,-1,-1,6.93
226429,753878,1542,-1,-1,180.9
226429,753879,1542,-1,-1,180.9
226429,753880,1542,-1,-1,180.9
226429,753881,1542,-1,-1,180.9
226430,753882,1543,-1,-1,175.5
226430,753883,1543,-1,-1,175.5
226430,753884,1543,-1,-1,175.5
226430,753885,1543,-1,-1,175.5
226495,754142,1608,-1,-1,27
226495,754143,1608,-1,-1,27
226495,754144,1608,-1,-1,27
226495,754145,1608,-1,-1,27
226496,754146,1609,-1,-1,0.72
226496,754147,1609,-1,-1,0.72
226496,754148,1609,-1,-1,0.72
226496,754149,1609,-1,-1,0.72
226497,754150,1610,-1,-1,8.595
226497,754151,1610,-1,-1,8.595
226497,754152,1610,-1,-1,8.595
226497,754153,1610,-1,-1,8.595
