QtBids,QBid1,QBid2,Tau,ForTime
112330,302398,302398,70,70
112331,302399,302399,68,68
112331,302399,302400,68,69
112331,302400,302400,69,69
112331,302399,302401,68,70
112331,302400,302401,69,70
112331,302401,302401,70,70
112332,302402,302402,68,68
112332,302402,302403,68,69
112332,302403,302403,69,69
112332,302402,302404,68,70
112332,302403,302404,69,70
112332,302404,302404,70,70
112333,302405,302405,68,68
112333,302405,302406,68,69
112333,302406,302406,69,69
112333,302405,302407,68,70
112333,302406,302407,69,70
112333,302407,302407,70,70
112334,302408,302408,68,68
112334,302408,302409,68,69
112334,302409,302409,69,69
112334,302408,302410,68,70
112334,302409,302410,69,70
112334,302410,302410,70,70
112335,302411,302411,68,68
112335,302411,302412,68,69
112335,302412,302412,69,69
112335,302411,302413,68,70
112335,302412,302413,69,70
112335,302413,302413,70,70
112336,302414,302414,68,68
112336,302414,302415,68,69
112336,302415,302415,69,69
112336,302414,302416,68,70
112336,302415,302416,69,70
112336,302416,302416,70,70
112337,302417,302417,68,68
112337,302417,302418,68,69
112337,302418,302418,69,69
112337,302417,302419,68,70
112337,302418,302419,69,70
112337,302419,302419,70,70
112338,302420,302420,68,68
112338,302420,302421,68,69
112338,302421,302421,69,69
112338,302420,302422,68,70
112338,302421,302422,69,70
112338,302422,302422,70,70
112339,302423,302423,68,68
112339,302423,302424,68,69
112339,302424,302424,69,69
112339,302423,302425,68,70
112339,302424,302425,69,70
112339,302425,302425,70,70
112340,302426,302426,68,68
112340,302426,302427,68,69
112340,302427,302427,69,69
112340,302426,302428,68,70
112340,302427,302428,69,70
112340,302428,302428,70,70
112341,302429,302429,68,68
112341,302429,302430,68,69
112341,302430,302430,69,69
112341,302429,302431,68,70
112341,302430,302431,69,70
112341,302431,302431,70,70
112342,302432,302432,68,68
112342,302432,302433,68,69
112342,302433,302433,69,69
112342,302432,302434,68,70
112342,302433,302434,69,70
112342,302434,302434,70,70
112343,302435,302435,68,68
112343,302435,302436,68,69
112343,302436,302436,69,69
112343,302435,302437,68,70
112343,302436,302437,69,70
112343,302437,302437,70,70
112344,302438,302438,68,68
112344,302438,302439,68,69
112344,302439,302439,69,69
112344,302438,302440,68,70
112344,302439,302440,69,70
112344,302440,302440,70,70
112345,302441,302441,68,68
112345,302441,302442,68,69
112345,302442,302442,69,69
112345,302441,302443,68,70
112345,302442,302443,69,70
112345,302443,302443,70,70
112346,302444,302444,68,68
112346,302444,302445,68,69
112346,302445,302445,69,69
112346,302444,302446,68,70
112346,302445,302446,69,70
112346,302446,302446,70,70
112347,302447,302447,68,68
112347,302447,302448,68,69
112347,302448,302448,69,69
112347,302447,302449,68,70
112347,302448,302449,69,70
112347,302449,302449,70,70
112348,302450,302450,68,68
112348,302450,302451,68,69
112348,302451,302451,69,69
112348,302450,302452,68,70
112348,302451,302452,69,70
112348,302452,302452,70,70
112349,302453,302453,68,68
112349,302453,302454,68,69
112349,302454,302454,69,69
112349,302453,302455,68,70
112349,302454,302455,69,70
112349,302455,302455,70,70
112350,302456,302456,68,68
112350,302456,302457,68,69
112350,302457,302457,69,69
112350,302456,302458,68,70
112350,302457,302458,69,70
112350,302458,302458,70,70
112351,302459,302459,68,68
112351,302459,302460,68,69
112351,302460,302460,69,69
112351,302459,302461,68,70
112351,302460,302461,69,70
112351,302461,302461,70,70
112352,302462,302462,68,68
112352,302462,302463,68,69
112352,302463,302463,69,69
112352,302462,302464,68,70
112352,302463,302464,69,70
112352,302464,302464,70,70
112353,302465,302465,68,68
112353,302465,302466,68,69
112353,302466,302466,69,69
112353,302465,302467,68,70
112353,302466,302467,69,70
112353,302467,302467,70,70
112354,302468,302468,68,68
112354,302468,302469,68,69
112354,302469,302469,69,69
112354,302468,302470,68,70
112354,302469,302470,69,70
112354,302470,302470,70,70
112355,302471,302471,68,68
112355,302471,302472,68,69
112355,302472,302472,69,69
112355,302471,302473,68,70
112355,302472,302473,69,70
112355,302473,302473,70,70
112356,302474,302474,68,68
112356,302474,302475,68,69
112356,302475,302475,69,69
112356,302474,302476,68,70
112356,302475,302476,69,70
112356,302476,302476,70,70
112357,302477,302477,68,68
112357,302477,302478,68,69
112357,302478,302478,69,69
112357,302477,302479,68,70
112357,302478,302479,69,70
112357,302479,302479,70,70
112358,302480,302480,68,68
112358,302480,302481,68,69
112358,302481,302481,69,69
112358,302480,302482,68,70
112358,302481,302482,69,70
112358,302482,302482,70,70
112359,302483,302483,68,68
112359,302483,302484,68,69
112359,302484,302484,69,69
112359,302483,302485,68,70
112359,302484,302485,69,70
112359,302485,302485,70,70
112360,302486,302486,68,68
112360,302486,302487,68,69
112360,302487,302487,69,69
112360,302486,302488,68,70
112360,302487,302488,69,70
112360,302488,302488,70,70
112361,302489,302489,68,68
112361,302489,302490,68,69
112361,302490,302490,69,69
112361,302489,302491,68,70
112361,302490,302491,69,70
112361,302491,302491,70,70
112362,302492,302492,68,68
112362,302492,302493,68,69
112362,302493,302493,69,69
112362,302492,302494,68,70
112362,302493,302494,69,70
112362,302494,302494,70,70
112363,302495,302495,68,68
112363,302495,302496,68,69
112363,302496,302496,69,69
112363,302495,302497,68,70
112363,302496,302497,69,70
112363,302497,302497,70,70
112364,302498,302498,68,68
112364,302498,302499,68,69
112364,302499,302499,69,69
112364,302498,302500,68,70
112364,302499,302500,69,70
112364,302500,302500,70,70
112365,302501,302501,68,68
112365,302501,302502,68,69
112365,302502,302502,69,69
112365,302501,302503,68,70
112365,302502,302503,69,70
112365,302503,302503,70,70
112366,302504,302504,68,68
112366,302504,302505,68,69
112366,302505,302505,69,69
112366,302504,302506,68,70
112366,302505,302506,69,70
112366,302506,302506,70,70
112367,302507,302507,68,68
112367,302507,302508,68,69
112367,302508,302508,69,69
112367,302507,302509,68,70
112367,302508,302509,69,70
112367,302509,302509,70,70
112368,302510,302510,68,68
112368,302510,302511,68,69
112368,302511,302511,69,69
112368,302510,302512,68,70
112368,302511,302512,69,70
112368,302512,302512,70,70
112369,302513,302513,68,68
112369,302513,302514,68,69
112369,302514,302514,69,69
112369,302513,302515,68,70
112369,302514,302515,69,70
112369,302515,302515,70,70
112370,302516,302516,68,68
112370,302516,302517,68,69
112370,302517,302517,69,69
112370,302516,302518,68,70
112370,302517,302518,69,70
112370,302518,302518,70,70
112371,302519,302519,68,68
112371,302519,302520,68,69
112371,302520,302520,69,69
112371,302519,302521,68,70
112371,302520,302521,69,70
112371,302521,302521,70,70
112372,302522,302522,68,68
112372,302522,302523,68,69
112372,302523,302523,69,69
112372,302522,302524,68,70
112372,302523,302524,69,70
112372,302524,302524,70,70
112373,302525,302525,68,68
112373,302525,302526,68,69
112373,302526,302526,69,69
112373,302525,302527,68,70
112373,302526,302527,69,70
112373,302527,302527,70,70
112374,302528,302528,68,68
112374,302528,302529,68,69
112374,302529,302529,69,69
112374,302528,302530,68,70
112374,302529,302530,69,70
112374,302530,302530,70,70
112375,302531,302531,68,68
112375,302531,302532,68,69
112375,302532,302532,69,69
112375,302531,302533,68,70
112375,302532,302533,69,70
112375,302533,302533,70,70
112376,302534,302534,68,68
112376,302534,302535,68,69
112376,302535,302535,69,69
112376,302534,302536,68,70
112376,302535,302536,69,70
112376,302536,302536,70,70
112377,302537,302537,68,68
112377,302537,302538,68,69
112377,302538,302538,69,69
112377,302537,302539,68,70
112377,302538,302539,69,70
112377,302539,302539,70,70
112378,302540,302540,68,68
112378,302540,302541,68,69
112378,302541,302541,69,69
112378,302540,302542,68,70
112378,302541,302542,69,70
112378,302542,302542,70,70
112379,302543,302543,68,68
112379,302543,302544,68,69
112379,302544,302544,69,69
112379,302543,302545,68,70
112379,302544,302545,69,70
112379,302545,302545,70,70
112380,302546,302546,68,68
112380,302546,302547,68,69
112380,302547,302547,69,69
112380,302546,302548,68,70
112380,302547,302548,69,70
112380,302548,302548,70,70
112381,302549,302549,68,68
112381,302549,302550,68,69
112381,302550,302550,69,69
112381,302549,302551,68,70
112381,302550,302551,69,70
112381,302551,302551,70,70
112382,302552,302552,68,68
112382,302552,302553,68,69
112382,302553,302553,69,69
112382,302552,302554,68,70
112382,302553,302554,69,70
112382,302554,302554,70,70
112383,302555,302555,68,68
112383,302555,302556,68,69
112383,302556,302556,69,69
112383,302555,302557,68,70
112383,302556,302557,69,70
112383,302557,302557,70,70
112384,302558,302558,68,68
112384,302558,302559,68,69
112384,302559,302559,69,69
112384,302558,302560,68,70
112384,302559,302560,69,70
112384,302560,302560,70,70
112385,302561,302561,68,68
112385,302561,302562,68,69
112385,302562,302562,69,69
112385,302561,302563,68,70
112385,302562,302563,69,70
112385,302563,302563,70,70
112386,302564,302564,68,68
112386,302564,302565,68,69
112386,302565,302565,69,69
112386,302564,302566,68,70
112386,302565,302566,69,70
112386,302566,302566,70,70
112387,302567,302567,68,68
112387,302567,302568,68,69
112387,302568,302568,69,69
112387,302567,302569,68,70
112387,302568,302569,69,70
112387,302569,302569,70,70
112388,302570,302570,68,68
112388,302570,302571,68,69
112388,302571,302571,69,69
112388,302570,302572,68,70
112388,302571,302572,69,70
112388,302572,302572,70,70
112389,302573,302573,68,68
112389,302573,302574,68,69
112389,302574,302574,69,69
112389,302573,302575,68,70
112389,302574,302575,69,70
112389,302575,302575,70,70
112390,302576,302576,68,68
112390,302576,302577,68,69
112390,302577,302577,69,69
112390,302576,302578,68,70
112390,302577,302578,69,70
112390,302578,302578,70,70
112391,302579,302579,68,68
112391,302579,302580,68,69
112391,302580,302580,69,69
112391,302579,302581,68,70
112391,302580,302581,69,70
112391,302581,302581,70,70
112392,302582,302582,68,68
112392,302582,302583,68,69
112392,302583,302583,69,69
112392,302582,302584,68,70
112392,302583,302584,69,70
112392,302584,302584,70,70
112393,302585,302585,68,68
112393,302585,302586,68,69
112393,302586,302586,69,69
112393,302585,302587,68,70
112393,302586,302587,69,70
112393,302587,302587,70,70
112394,302588,302588,68,68
112394,302588,302589,68,69
112394,302589,302589,69,69
112394,302588,302590,68,70
112394,302589,302590,69,70
112394,302590,302590,70,70
112395,302591,302591,68,68
112395,302591,302592,68,69
112395,302592,302592,69,69
112395,302591,302593,68,70
112395,302592,302593,69,70
112395,302593,302593,70,70
112396,302594,302594,68,68
112396,302594,302595,68,69
112396,302595,302595,69,69
112396,302594,302596,68,70
112396,302595,302596,69,70
112396,302596,302596,70,70
112397,302597,302597,68,68
112397,302597,302598,68,69
112397,302598,302598,69,69
112397,302597,302599,68,70
112397,302598,302599,69,70
112397,302599,302599,70,70
112398,302600,302600,68,68
112398,302600,302601,68,69
112398,302601,302601,69,69
112398,302600,302602,68,70
112398,302601,302602,69,70
112398,302602,302602,70,70
112399,302603,302603,68,68
112399,302603,302604,68,69
112399,302604,302604,69,69
112399,302603,302605,68,70
112399,302604,302605,69,70
112399,302605,302605,70,70
112400,302606,302606,68,68
112400,302606,302607,68,69
112400,302607,302607,69,69
112400,302606,302608,68,70
112400,302607,302608,69,70
112400,302608,302608,70,70
112401,302609,302609,68,68
112401,302609,302610,68,69
112401,302610,302610,69,69
112401,302609,302611,68,70
112401,302610,302611,69,70
112401,302611,302611,70,70
112402,302612,302612,68,68
112402,302612,302613,68,69
112402,302613,302613,69,69
112402,302612,302614,68,70
112402,302613,302614,69,70
112402,302614,302614,70,70
112403,302615,302615,68,68
112403,302615,302616,68,69
112403,302616,302616,69,69
112403,302615,302617,68,70
112403,302616,302617,69,70
112403,302617,302617,70,70
112404,302618,302618,68,68
112404,302618,302619,68,69
112404,302619,302619,69,69
112404,302618,302620,68,70
112404,302619,302620,69,70
112404,302620,302620,70,70
112405,302621,302621,68,68
112405,302621,302622,68,69
112405,302622,302622,69,69
112405,302621,302623,68,70
112405,302622,302623,69,70
112405,302623,302623,70,70
112406,302624,302624,68,68
112406,302624,302625,68,69
112406,302625,302625,69,69
112406,302624,302626,68,70
112406,302625,302626,69,70
112406,302626,302626,70,70
112407,302627,302627,68,68
112407,302627,302628,68,69
112407,302628,302628,69,69
112407,302627,302629,68,70
112407,302628,302629,69,70
112407,302629,302629,70,70
112408,302630,302630,68,68
112408,302630,302631,68,69
112408,302631,302631,69,69
112408,302630,302632,68,70
112408,302631,302632,69,70
112408,302632,302632,70,70
112409,302633,302633,68,68
112409,302633,302634,68,69
112409,302634,302634,69,69
112409,302633,302635,68,70
112409,302634,302635,69,70
112409,302635,302635,70,70
112410,302636,302636,68,68
112410,302636,302637,68,69
112410,302637,302637,69,69
112410,302636,302638,68,70
112410,302637,302638,69,70
112410,302638,302638,70,70
112411,302639,302639,68,68
112411,302639,302640,68,69
112411,302640,302640,69,69
112411,302639,302641,68,70
112411,302640,302641,69,70
112411,302641,302641,70,70
112412,302642,302642,68,68
112412,302642,302643,68,69
112412,302643,302643,69,69
112412,302642,302644,68,70
112412,302643,302644,69,70
112412,302644,302644,70,70
112413,302645,302645,68,68
112413,302645,302646,68,69
112413,302646,302646,69,69
112413,302645,302647,68,70
112413,302646,302647,69,70
112413,302647,302647,70,70
112414,302648,302648,68,68
112414,302648,302649,68,69
112414,302649,302649,69,69
112414,302648,302650,68,70
112414,302649,302650,69,70
112414,302650,302650,70,70
112415,302651,302651,68,68
112415,302651,302652,68,69
112415,302652,302652,69,69
112415,302651,302653,68,70
112415,302652,302653,69,70
112415,302653,302653,70,70
112416,302654,302654,68,68
112416,302654,302655,68,69
112416,302655,302655,69,69
112416,302654,302656,68,70
112416,302655,302656,69,70
112416,302656,302656,70,70
112417,302657,302657,68,68
112417,302657,302658,68,69
112417,302658,302658,69,69
112417,302657,302659,68,70
112417,302658,302659,69,70
112417,302659,302659,70,70
112418,302660,302660,68,68
112418,302660,302661,68,69
112418,302661,302661,69,69
112418,302660,302662,68,70
112418,302661,302662,69,70
112418,302662,302662,70,70
112419,302663,302663,68,68
112419,302663,302664,68,69
112419,302664,302664,69,69
112419,302663,302665,68,70
112419,302664,302665,69,70
112419,302665,302665,70,70
112420,302666,302666,68,68
112420,302666,302667,68,69
112420,302667,302667,69,69
112420,302666,302668,68,70
112420,302667,302668,69,70
112420,302668,302668,70,70
112421,302669,302669,68,68
112421,302669,302670,68,69
112421,302670,302670,69,69
112421,302669,302671,68,70
112421,302670,302671,69,70
112421,302671,302671,70,70
112422,302672,302672,68,68
112422,302672,302673,68,69
112422,302673,302673,69,69
112422,302672,302674,68,70
112422,302673,302674,69,70
112422,302674,302674,70,70
112423,302675,302675,68,68
112423,302675,302676,68,69
112423,302676,302676,69,69
112423,302675,302677,68,70
112423,302676,302677,69,70
112423,302677,302677,70,70
112424,302678,302678,68,68
112424,302678,302679,68,69
112424,302679,302679,69,69
112424,302678,302680,68,70
112424,302679,302680,69,70
112424,302680,302680,70,70
112425,302681,302681,68,68
112425,302681,302682,68,69
112425,302682,302682,69,69
112425,302681,302683,68,70
112425,302682,302683,69,70
112425,302683,302683,70,70
112426,302684,302684,68,68
112426,302684,302685,68,69
112426,302685,302685,69,69
112426,302684,302686,68,70
112426,302685,302686,69,70
112426,302686,302686,70,70
112427,302687,302687,68,68
112427,302687,302688,68,69
112427,302688,302688,69,69
112427,302687,302689,68,70
112427,302688,302689,69,70
112427,302689,302689,70,70
112428,302690,302690,68,68
112428,302690,302691,68,69
112428,302691,302691,69,69
112428,302690,302692,68,70
112428,302691,302692,69,70
112428,302692,302692,70,70
112429,302693,302693,68,68
112429,302693,302694,68,69
112429,302694,302694,69,69
112429,302693,302695,68,70
112429,302694,302695,69,70
112429,302695,302695,70,70
112430,302696,302696,68,68
112430,302696,302697,68,69
112430,302697,302697,69,69
112430,302696,302698,68,70
112430,302697,302698,69,70
112430,302698,302698,70,70
112431,302699,302699,68,68
112431,302699,302700,68,69
112431,302700,302700,69,69
112431,302699,302701,68,70
112431,302700,302701,69,70
112431,302701,302701,70,70
112432,302702,302702,68,68
112432,302702,302703,68,69
112432,302703,302703,69,69
112432,302702,302704,68,70
112432,302703,302704,69,70
112432,302704,302704,70,70
112433,302705,302705,68,68
112433,302705,302706,68,69
112433,302706,302706,69,69
112433,302705,302707,68,70
112433,302706,302707,69,70
112433,302707,302707,70,70
112434,302708,302708,68,68
112434,302708,302709,68,69
112434,302709,302709,69,69
112434,302708,302710,68,70
112434,302709,302710,69,70
112434,302710,302710,70,70
112435,302711,302711,68,68
112435,302711,302712,68,69
112435,302712,302712,69,69
112435,302711,302713,68,70
112435,302712,302713,69,70
112435,302713,302713,70,70
112436,302714,302714,68,68
112436,302714,302715,68,69
112436,302715,302715,69,69
112436,302714,302716,68,70
112436,302715,302716,69,70
112436,302716,302716,70,70
112437,302717,302717,68,68
112437,302717,302718,68,69
112437,302718,302718,69,69
112437,302717,302719,68,70
112437,302718,302719,69,70
112437,302719,302719,70,70
112438,302720,302720,68,68
112438,302720,302721,68,69
112438,302721,302721,69,69
112438,302720,302722,68,70
112438,302721,302722,69,70
112438,302722,302722,70,70
112439,302723,302723,68,68
112439,302723,302724,68,69
112439,302724,302724,69,69
112439,302723,302725,68,70
112439,302724,302725,69,70
112439,302725,302725,70,70
112440,302726,302726,68,68
112440,302726,302727,68,69
112440,302727,302727,69,69
112440,302726,302728,68,70
112440,302727,302728,69,70
112440,302728,302728,70,70
112441,302729,302729,68,68
112441,302729,302730,68,69
112441,302730,302730,69,69
112441,302729,302731,68,70
112441,302730,302731,69,70
112441,302731,302731,70,70
112442,302732,302732,68,68
112442,302732,302733,68,69
112442,302733,302733,69,69
112442,302732,302734,68,70
112442,302733,302734,69,70
112442,302734,302734,70,70
112443,302735,302735,68,68
112443,302735,302736,68,69
112443,302736,302736,69,69
112443,302735,302737,68,70
112443,302736,302737,69,70
112443,302737,302737,70,70
112444,302738,302738,68,68
112444,302738,302739,68,69
112444,302739,302739,69,69
112444,302738,302740,68,70
112444,302739,302740,69,70
112444,302740,302740,70,70
112445,302741,302741,68,68
112445,302741,302742,68,69
112445,302742,302742,69,69
112445,302741,302743,68,70
112445,302742,302743,69,70
112445,302743,302743,70,70
112446,302744,302744,68,68
112446,302744,302745,68,69
112446,302745,302745,69,69
112446,302744,302746,68,70
112446,302745,302746,69,70
112446,302746,302746,70,70
112447,302747,302747,68,68
112447,302747,302748,68,69
112447,302748,302748,69,69
112447,302747,302749,68,70
112447,302748,302749,69,70
112447,302749,302749,70,70
112448,302750,302750,68,68
112448,302750,302751,68,69
112448,302751,302751,69,69
112448,302750,302752,68,70
112448,302751,302752,69,70
112448,302752,302752,70,70
112449,302753,302753,68,68
112449,302753,302754,68,69
112449,302754,302754,69,69
112449,302753,302755,68,70
112449,302754,302755,69,70
112449,302755,302755,70,70
112450,302756,302756,68,68
112450,302756,302757,68,69
112450,302757,302757,69,69
112450,302756,302758,68,70
112450,302757,302758,69,70
112450,302758,302758,70,70
112451,302759,302759,68,68
112451,302759,302760,68,69
112451,302760,302760,69,69
112451,302759,302761,68,70
112451,302760,302761,69,70
112451,302761,302761,70,70
112452,302762,302762,68,68
112452,302762,302763,68,69
112452,302763,302763,69,69
112452,302762,302764,68,70
112452,302763,302764,69,70
112452,302764,302764,70,70
112453,302765,302765,68,68
112453,302765,302766,68,69
112453,302766,302766,69,69
112453,302765,302767,68,70
112453,302766,302767,69,70
112453,302767,302767,70,70
112454,302768,302768,68,68
112454,302768,302769,68,69
112454,302769,302769,69,69
112454,302768,302770,68,70
112454,302769,302770,69,70
112454,302770,302770,70,70
112455,302771,302771,68,68
112455,302771,302772,68,69
112455,302772,302772,69,69
112455,302771,302773,68,70
112455,302772,302773,69,70
112455,302773,302773,70,70
112456,302774,302774,68,68
112456,302774,302775,68,69
112456,302775,302775,69,69
112456,302774,302776,68,70
112456,302775,302776,69,70
112456,302776,302776,70,70
112457,302777,302777,68,68
112457,302777,302778,68,69
112457,302778,302778,69,69
112457,302777,302779,68,70
112457,302778,302779,69,70
112457,302779,302779,70,70
112458,302780,302780,68,68
112458,302780,302781,68,69
112458,302781,302781,69,69
112458,302780,302782,68,70
112458,302781,302782,69,70
112458,302782,302782,70,70
112459,302783,302783,68,68
112459,302783,302784,68,69
112459,302784,302784,69,69
112459,302783,302785,68,70
112459,302784,302785,69,70
112459,302785,302785,70,70
112460,302786,302786,68,68
112460,302786,302787,68,69
112460,302787,302787,69,69
112460,302786,302788,68,70
112460,302787,302788,69,70
112460,302788,302788,70,70
112461,302789,302789,68,68
112461,302789,302790,68,69
112461,302790,302790,69,69
112461,302789,302791,68,70
112461,302790,302791,69,70
112461,302791,302791,70,70
112462,302792,302792,68,68
112462,302792,302793,68,69
112462,302793,302793,69,69
112462,302792,302794,68,70
112462,302793,302794,69,70
112462,302794,302794,70,70
112463,302795,302795,68,68
112463,302795,302796,68,69
112463,302796,302796,69,69
112463,302795,302797,68,70
112463,302796,302797,69,70
112463,302797,302797,70,70
112464,302798,302798,68,68
112464,302798,302799,68,69
112464,302799,302799,69,69
112464,302798,302800,68,70
112464,302799,302800,69,70
112464,302800,302800,70,70
112465,302801,302801,68,68
112465,302801,302802,68,69
112465,302802,302802,69,69
112465,302801,302803,68,70
112465,302802,302803,69,70
112465,302803,302803,70,70
112466,302804,302804,68,68
112466,302804,302805,68,69
112466,302805,302805,69,69
112466,302804,302806,68,70
112466,302805,302806,69,70
112466,302806,302806,70,70
112467,302807,302807,68,68
112467,302807,302808,68,69
112467,302808,302808,69,69
112467,302807,302809,68,70
112467,302808,302809,69,70
112467,302809,302809,70,70
112468,302810,302810,68,68
112468,302810,302811,68,69
112468,302811,302811,69,69
112468,302810,302812,68,70
112468,302811,302812,69,70
112468,302812,302812,70,70
112469,302813,302813,68,68
112469,302813,302814,68,69
112469,302814,302814,69,69
112469,302813,302815,68,70
112469,302814,302815,69,70
112469,302815,302815,70,70
112470,302816,302816,68,68
112470,302816,302817,68,69
112470,302817,302817,69,69
112470,302816,302818,68,70
112470,302817,302818,69,70
112470,302818,302818,70,70
112471,302819,302819,68,68
112471,302819,302820,68,69
112471,302820,302820,69,69
112471,302819,302821,68,70
112471,302820,302821,69,70
112471,302821,302821,70,70
112472,302822,302822,68,68
112472,302822,302823,68,69
112472,302823,302823,69,69
112472,302822,302824,68,70
112472,302823,302824,69,70
112472,302824,302824,70,70
112473,302825,302825,68,68
112473,302825,302826,68,69
112473,302826,302826,69,69
112473,302825,302827,68,70
112473,302826,302827,69,70
112473,302827,302827,70,70
112474,302828,302828,68,68
112474,302828,302829,68,69
112474,302829,302829,69,69
112474,302828,302830,68,70
112474,302829,302830,69,70
112474,302830,302830,70,70
112475,302831,302831,68,68
112475,302831,302832,68,69
112475,302832,302832,69,69
112475,302831,302833,68,70
112475,302832,302833,69,70
112475,302833,302833,70,70
112476,302834,302834,68,68
112476,302834,302835,68,69
112476,302835,302835,69,69
112476,302834,302836,68,70
112476,302835,302836,69,70
112476,302836,302836,70,70
112477,302837,302837,68,68
112477,302837,302838,68,69
112477,302838,302838,69,69
112477,302837,302839,68,70
112477,302838,302839,69,70
112477,302839,302839,70,70
112478,302840,302840,68,68
112478,302840,302841,68,69
112478,302841,302841,69,69
112478,302840,302842,68,70
112478,302841,302842,69,70
112478,302842,302842,70,70
112479,302843,302843,68,68
112479,302843,302844,68,69
112479,302844,302844,69,69
112479,302843,302845,68,70
112479,302844,302845,69,70
112479,302845,302845,70,70
112480,302846,302846,68,68
112480,302846,302847,68,69
112480,302847,302847,69,69
112480,302846,302848,68,70
112480,302847,302848,69,70
112480,302848,302848,70,70
112481,302849,302849,68,68
112481,302849,302850,68,69
112481,302850,302850,69,69
112481,302849,302851,68,70
112481,302850,302851,69,70
112481,302851,302851,70,70
112482,302852,302852,68,68
112482,302852,302853,68,69
112482,302853,302853,69,69
112482,302852,302854,68,70
112482,302853,302854,69,70
112482,302854,302854,70,70
112483,302855,302855,68,68
112483,302855,302856,68,69
112483,302856,302856,69,69
112483,302855,302857,68,70
112483,302856,302857,69,70
112483,302857,302857,70,70
