QtBids,forT
109101,68
109102,68
109103,68
109104,68
109105,68
109106,68
109107,68
109108,68
109109,68
109110,68
109111,68
109112,68
109113,68
109114,68
109115,68
109116,68
109117,68
109118,68
109119,68
109120,68
109121,68
109122,68
109123,68
109124,68
109125,68
109126,68
109127,68
109128,68
109129,68
109130,68
109131,68
109132,68
109133,68
109134,68
109135,68
109136,68
109137,68
109138,68
109139,68
109140,68
109141,68
109142,68
109143,68
109144,68
109145,68
109146,68
109147,68
109148,68
109149,68
109150,68
109151,68
109152,68
109153,68
109154,68
109155,68
109156,68
109157,68
109158,68
109159,68
109160,68
109161,68
109162,68
109163,68
109164,68
109165,68
109166,68
109167,68
109168,68
109169,68
109170,68
109171,68
109172,68
109173,68
109174,68
109175,68
109176,68
109177,68
109178,68
109179,68
109180,68
109181,68
109182,68
109183,68
109184,68
109185,68
109186,68
109187,68
109188,68
109189,68
109190,68
109191,68
109192,68
109193,68
109194,68
109195,68
109196,68
109197,68
109198,68
109199,68
109200,68
109201,68
109202,68
109203,68
109204,68
109205,68
109206,68
109207,68
109208,68
109209,68
109210,68
109211,68
109212,68
109213,68
109214,68
109215,68
109216,68
109217,68
109218,68
109219,68
109220,68
109221,68
109222,68
109223,68
109224,68
109225,68
109226,68
109227,68
109228,68
109229,68
109230,68
109231,68
109232,68
109233,68
109234,68
109235,68
109236,68
109237,68
109238,68
109239,68
109240,68
109241,68
109242,68
109243,68
109244,68
109245,68
109246,68
109247,68
109248,68
109249,68
109250,68
109251,68
109252,68
109253,68
109254,68
109255,68
109256,68
109257,68
109258,68
109259,68
109260,68
109261,68
109262,68
109263,68
109264,68
109265,68
109266,68
109267,68
109268,68
109269,68
109270,68
109271,68
109272,68
109273,68
109274,68
109275,68
109276,68
109277,68
109278,68
109279,68
109280,68
109281,68
109282,68
109283,68
109284,68
109285,68
109286,68
109287,68
109288,68
109289,68
109290,68
109291,68
109292,68
109293,68
109294,68
109295,68
109296,68
109297,68
109298,68
109299,68
109300,68
109301,68
109302,68
109303,68
109304,68
109305,68
109306,68
109307,68
109308,68
109309,68
109310,68
109311,68
109312,68
109313,68
109314,68
109315,68
109316,68
109317,68
109318,68
109319,68
109320,68
109321,68
109322,68
109323,68
109324,68
109325,68
109326,68
109327,68
109328,68
109329,68
109330,68
109331,68
109332,68
109333,68
109334,68
109335,68
109336,68
109337,68
109338,68
109339,68
109340,68
109341,68
109342,68
109343,68
109344,68
109345,68
109346,68
109347,68
109348,68
109349,68
109350,68
109351,68
109352,68
109353,68
109354,68
109355,68
109356,68
109357,68
109358,68
109359,68
109360,68
109361,68
109362,68
109363,68
109364,68
109365,68
109366,68
109367,68
109368,68
109369,68
109370,68
109371,68
109372,68
109373,68
109374,68
109375,68
109376,68
109377,68
109378,68
109379,68
109380,68
109381,68
109382,68
109383,68
109384,68
109385,68
109386,68
109387,68
109388,68
109389,68
109390,68
109391,68
109392,68
109393,68
109394,68
109395,68
109396,68
109397,68
109398,68
109399,68
109400,68
109401,68
109402,68
109403,68
109404,68
109405,68
109406,68
109407,68
109408,68
109409,68
109410,68
109411,68
109412,68
109413,68
109414,68
109415,68
109416,68
109417,68
109418,68
109419,68
109420,68
109421,68
109422,68
109423,68
109424,68
109425,68
109426,68
109427,68
109428,68
109429,68
109430,68
109431,68
109432,68
109433,68
109434,68
109435,68
109436,68
109437,68
109438,68
109439,68
109440,68
109441,68
109442,68
109443,68
109444,68
109445,68
109446,68
109447,68
109448,68
109449,68
109450,68
109451,68
109452,68
109453,68
109454,68
109455,68
109456,68
109457,68
109458,68
109459,68
109460,68
109461,68
109462,68
109463,68
109464,68
109465,68
109466,68
109467,68
109468,68
109469,68
109470,68
109471,68
109472,68
109473,68
109474,68
109475,68
109476,68
109477,68
109478,68
109479,68
109480,68
109481,68
109482,68
109483,68
109484,68
109485,68
109486,68
109487,68
109488,68
109489,68
109490,68
109491,68
109492,68
109493,68
109494,68
109495,68
109496,68
109497,68
109498,68
109499,68
109500,68
109501,68
109502,68
109503,68
109504,68
109505,68
109506,68
109507,68
109508,68
109509,68
109510,68
109511,68
109512,68
109513,68
109514,68
109515,68
109516,68
109517,68
109518,68
109519,68
109520,68
109521,68
109522,68
109523,68
109524,68
109525,68
109526,68
109527,68
109528,68
109529,68
109530,68
109531,68
109532,68
109533,68
109534,68
109535,68
109536,68
109537,68
109538,68
109539,68
109540,68
109541,68
109542,68
109543,68
109544,68
109545,68
109546,68
109547,68
109548,68
109549,68
109550,68
109551,68
109552,68
109553,68
109554,68
109555,68
109556,68
109557,68
109558,68
109559,68
109560,68
109561,68
109562,68
109563,68
109564,68
109565,68
109566,68
109567,68
109568,68
109569,68
109570,68
109571,68
109572,68
109573,68
109574,68
109575,68
109576,68
109577,68
109578,68
109579,68
109580,68
109581,68
109582,68
109583,68
109584,68
109585,68
109586,68
109587,68
109588,68
109589,68
109590,68
109591,68
109592,68
109593,68
109594,68
109595,68
109596,68
109597,68
109598,68
109599,68
109600,68
109601,68
109602,68
109603,68
109604,68
109605,68
109606,68
109607,68
109608,68
109609,68
109610,68
109611,68
109612,68
109613,68
109614,68
109615,68
109616,68
109617,68
109618,68
109619,68
109620,68
109621,68
109622,68
109623,68
109624,68
109625,68
109626,68
109627,68
109628,68
109629,68
109630,68
109631,68
109632,68
109633,68
109634,68
109635,68
109636,68
109637,68
109638,68
109639,68
109640,68
109641,68
109642,68
109643,68
109644,68
109645,68
109646,68
109647,68
109648,68
109649,68
109650,68
109651,68
109652,68
109653,68
109654,68
109655,68
109656,68
109657,68
109658,68
109659,68
109660,68
109661,68
109662,68
109663,68
109664,68
109665,68
109666,68
109667,68
109668,68
109669,68
109670,68
109671,68
109672,68
109673,68
109674,68
109675,68
109676,68
109677,68
109678,68
109679,68
109680,68
109681,68
109682,68
109683,68
109684,68
109685,68
109686,68
109687,68
109688,68
109689,68
109690,68
109691,68
109692,68
109693,68
109694,68
109695,68
109696,68
109697,68
109698,68
109699,68
109700,68
109701,68
109702,68
109703,68
109704,68
109705,68
109706,68
109707,68
109708,68
109709,68
109710,68
109711,68
109712,68
109713,68
109714,68
109715,68
109716,68
109717,68
109718,68
109719,68
109720,68
109721,68
109722,68
109723,68
109724,68
109725,68
109726,68
109727,68
109728,68
109729,68
109730,68
109731,68
109732,68
109733,68
109734,68
109735,68
109736,68
109737,68
109738,68
109739,68
109740,68
109741,68
109742,68
109743,68
109744,68
109745,68
109746,68
109747,68
109748,68
109749,68
109750,68
109751,68
109752,68
109753,68
109754,68
109755,68
109756,68
109757,68
109758,68
109759,68
109760,68
109761,68
109762,68
109763,68
109764,68
109765,68
109766,68
109767,68
109768,68
109769,68
109770,68
109771,68
109772,68
109773,68
109774,68
109775,68
109776,68
109777,68
109778,68
109779,68
109780,68
109781,68
109782,68
109783,68
109784,68
109785,68
109786,68
109787,68
109788,68
109789,68
109790,68
109791,68
109792,68
109793,68
109794,68
109795,68
109796,68
109797,68
109798,68
109799,68
109800,68
109801,68
109802,68
109803,68
109804,68
109805,68
109806,68
109807,68
109808,68
109809,68
109810,68
109811,68
109812,68
109813,68
109814,68
109815,68
109816,68
109817,68
109818,68
109819,68
109820,68
109821,68
109822,68
109823,68
109824,68
109825,68
109826,68
109827,68
109828,68
109829,68
109830,68
109831,68
109832,68
109833,68
109834,68
109835,68
109836,68
109837,68
109838,68
109839,68
109840,68
109841,68
109842,68
109843,68
109844,68
109845,68
109846,68
109847,68
109848,68
109849,68
109850,68
109851,68
109852,68
109853,68
109854,68
109855,68
109856,68
109857,68
109858,68
109859,68
109860,68
109861,68
109862,68
109863,68
109864,68
109865,68
109866,68
109867,68
109868,68
109869,68
109870,68
109871,68
109872,68
109873,68
109874,68
109875,68
109876,68
109877,68
109878,68
109879,68
109880,68
109881,68
109882,68
109883,68
109884,68
109885,68
109886,68
109887,68
109888,68
109889,68
109890,68
109891,68
109892,68
109893,68
109894,68
109895,68
109896,68
109897,68
109898,68
109899,68
109900,68
109901,68
109902,68
109903,68
109904,68
109905,68
109906,68
109907,68
109908,68
109909,68
109910,68
109911,68
109912,68
109913,68
109914,68
109915,68
109916,68
109917,68
109918,68
109919,68
109920,68
109921,68
109922,68
109923,68
109924,68
109925,68
109926,68
109927,68
109928,68
109929,68
109930,68
109931,68
109932,68
109933,68
109934,68
109935,68
109936,68
109937,68
109938,68
109939,68
109940,68
109941,68
109942,68
109943,68
109944,68
109945,68
109946,68
109947,68
109948,68
109949,68
109950,68
109951,68
109952,68
109953,68
109954,68
109955,68
109956,68
109957,68
109958,68
109959,68
109960,68
109961,68
109962,68
109963,68
109964,68
109965,68
109966,68
109967,68
109968,68
109969,68
109970,68
109971,68
109972,68
109973,68
109974,68
109975,68
109976,68
109977,68
109978,68
109979,68
109980,68
109981,68
109982,68
109983,68
109984,68
109985,68
109986,68
109987,68
109988,68
109989,68
109990,68
109991,68
109992,68
109993,68
109994,68
109995,68
109996,68
109997,68
109998,68
109999,68
110000,68
110001,68
110002,68
110003,68
110004,68
110005,68
110006,68
110007,68
110008,68
110009,68
110010,68
110011,68
110012,68
110013,68
110014,68
110015,68
110016,68
110017,68
110018,68
110019,68
110020,68
110021,68
110022,68
110023,68
110024,68
110025,68
110026,68
110027,68
110028,68
110029,68
110030,68
110031,68
110032,68
110033,68
110034,68
110035,68
110036,68
110037,68
110038,68
110039,68
110040,68
110041,68
110042,68
110043,68
110044,68
110045,68
110046,68
110047,68
110048,68
110049,68
110050,68
110051,68
110052,68
110053,68
110054,68
110055,68
110056,68
110057,68
110058,68
110059,68
110060,68
110061,68
110062,68
110063,68
110064,68
110065,68
110066,68
110067,68
110068,68
110069,68
110070,68
110071,68
110072,68
110073,68
110074,68
110075,68
110076,68
110077,68
110078,68
110079,68
110080,68
110081,68
110082,68
110083,68
110084,68
110085,68
110086,68
110087,68
110088,68
110089,68
110090,68
110091,68
110092,68
110093,68
110094,68
110095,68
110096,68
110097,68
110098,68
110099,68
110100,68
110101,68
110102,68
110103,68
110104,68
110105,68
110106,68
110107,68
110108,68
110109,68
110110,68
110111,68
110112,68
110113,68
110114,68
110115,68
110116,68
110117,68
110118,68
110119,68
110120,68
110121,68
110122,68
110123,68
110124,68
110125,68
110126,68
110127,68
110128,68
110129,68
110130,68
110131,68
110132,68
110133,68
110134,68
110135,68
110136,68
110137,68
110138,68
110139,68
110140,68
110141,68
110142,68
110143,68
110144,68
110145,68
110146,68
110147,68
110148,68
110149,68
110150,68
110151,68
110152,68
110153,68
110154,68
110155,68
110156,68
110157,68
110158,68
110159,68
110160,68
110161,68
110162,68
110163,68
110164,68
110165,68
110166,68
110167,68
110168,68
110169,68
110170,68
110171,68
110172,68
110173,68
110174,68
110175,68
110176,68
110177,68
110178,68
110179,68
110180,68
110181,68
110182,68
110183,68
110184,68
110185,68
110186,68
110187,68
110188,68
110189,68
110190,68
110191,68
110192,68
110193,68
110194,68
110195,68
110196,68
110197,68
110198,68
110199,68
110200,68
110201,68
110202,68
110203,68
110204,68
110205,68
110206,68
110207,68
110208,68
110209,68
110210,68
110211,68
110212,68
110213,68
110214,68
110215,68
110216,68
110217,68
110218,68
110219,68
110220,68
110221,68
110222,68
110223,68
110224,68
110225,68
110226,68
110227,68
110228,68
110229,68
110230,68
110231,68
110232,68
110233,68
110234,68
110235,68
110236,68
110237,68
110238,68
110239,68
110240,68
110241,68
110242,68
110243,68
110244,68
110245,68
110246,68
110247,68
110248,68
110249,68
110250,68
110251,68
110252,68
110253,68
110254,68
110255,68
110256,68
110257,68
110258,68
110259,68
110260,68
110261,68
110262,68
110263,68
110264,68
110265,68
110266,68
110267,68
110268,68
110269,68
110270,68
110271,68
110272,68
110273,68
110274,68
110275,68
110276,68
110277,68
110278,68
110279,68
110280,68
110281,68
110282,68
110283,68
110284,68
110285,68
110286,68
110287,68
110288,68
110289,68
110290,68
110291,68
110292,68
110293,68
110294,68
110295,68
110296,68
110297,68
110298,68
110299,68
110300,68
110301,68
110302,68
110303,68
110304,68
110305,68
110306,68
110307,68
110308,68
110309,68
110310,68
110311,68
110312,68
110313,68
110314,68
110315,68
110316,68
110317,68
110318,68
110319,68
110320,68
110321,68
110322,68
110323,68
110324,68
110325,68
110326,68
110327,68
110328,68
110329,68
110330,68
110331,68
110332,68
110333,68
110334,68
110335,68
110336,68
110337,68
110338,68
110339,68
110340,68
110341,68
110342,68
110343,68
110344,68
110345,68
110346,68
110347,68
110348,68
110349,68
110350,68
110351,68
110352,68
110353,68
110354,68
110355,68
110356,68
110357,68
110358,68
110359,68
110360,68
110361,68
110362,68
110363,68
110364,68
110365,68
110366,68
110367,68
110368,68
110369,68
110370,68
110371,68
110372,68
110373,68
110374,68
110375,68
110376,68
110377,68
110378,68
110379,68
110380,68
110381,68
110382,68
110383,68
110384,68
110385,68
110386,68
110387,68
110388,68
110389,68
110390,68
110391,68
110392,68
110393,68
110394,68
110395,68
110396,68
110397,68
110398,68
110399,68
110400,68
110401,68
110402,68
110403,68
110404,68
110405,68
110406,68
110407,68
110408,68
110409,68
110410,68
110411,68
110412,68
110413,68
110414,68
110415,68
110416,68
110417,68
110418,68
110419,68
110420,68
110421,68
110422,68
110423,68
110424,68
110425,68
110426,68
110427,68
110428,68
110429,68
110430,68
110431,68
110432,68
110433,68
110434,68
110435,68
110436,68
110437,68
110438,68
110439,68
110440,68
110441,68
110442,68
110443,68
110444,68
110445,68
110446,68
110447,68
110448,68
110449,68
110450,68
110451,68
110452,68
110453,68
110454,68
110455,68
110456,68
110457,68
110458,68
110459,68
110460,68
110461,68
110462,68
110463,68
110464,68
110465,68
110466,68
110467,68
110468,68
110469,68
110470,68
110471,68
110472,68
110473,68
110474,68
110475,68
110476,68
110477,68
110478,68
110479,68
110480,68
110481,68
110482,68
110483,68
110484,68
110485,68
110486,68
110487,68
110488,68
110489,68
110490,68
110491,68
110492,68
110493,68
110494,68
110495,68
110496,68
110497,68
110498,68
110499,68
110500,68
110501,68
110502,68
110503,68
110504,68
110505,68
110506,68
110507,68
110508,68
110509,68
110510,68
110511,68
110512,68
110513,68
110514,68
110515,68
110516,68
110517,68
110518,68
110519,68
110520,68
110521,68
110522,68
110523,68
110524,68
110525,68
110526,68
110527,68
110528,68
110529,68
110530,68
110531,68
110532,68
110533,68
110534,68
110535,68
110536,68
110537,68
110538,68
110539,68
110540,68
110541,68
110542,68
110543,68
110544,68
110545,68
110546,68
110547,68
110548,68
110549,68
110550,68
110551,68
110552,68
110553,68
110554,68
110555,68
110556,68
110557,68
110558,68
110559,68
110560,68
110561,68
110562,68
110563,68
110564,68
110565,68
110566,68
110567,68
110568,68
110569,68
110570,68
110571,68
110572,68
110573,68
110574,68
110575,68
110576,68
110577,68
110578,68
110579,68
110580,68
110581,68
110582,68
110583,68
110584,68
110585,68
110586,68
110587,68
110588,68
110589,68
110590,68
110591,68
110592,68
110593,68
110594,68
110595,68
110596,68
110597,68
110598,68
110599,68
110600,68
110601,68
110602,68
110603,68
110604,68
110605,68
110606,68
110607,68
110608,68
110609,68
110610,68
110611,68
110612,68
110613,68
110614,68
110615,68
110616,68
110617,68
110618,68
110619,68
110620,68
110621,68
110622,68
110623,68
110624,68
110625,68
110626,68
110627,68
110628,68
110629,68
110630,68
110631,68
110632,68
110633,68
110634,68
110635,68
110636,68
110637,68
110638,68
110639,68
110640,68
110641,68
110642,68
110643,68
110644,68
110645,68
110646,68
110647,68
110648,68
110649,68
110650,68
110651,68
110652,68
110653,68
110654,68
110655,68
110656,68
110657,68
110658,68
110659,68
110660,68
110661,68
110662,68
110663,68
110664,68
110665,68
110666,68
110667,68
110668,68
110669,68
110670,68
110671,68
110672,68
110673,68
110674,68
110675,68
110676,68
110677,68
110678,68
110679,68
110680,68
110681,68
110682,68
110683,68
110684,68
110685,68
110686,68
110687,68
110688,68
110689,68
110690,68
110691,68
110692,68
110693,68
110694,68
110695,68
110696,68
110697,68
110698,68
110699,68
110700,68
110701,68
110702,68
110703,68
110704,68
110705,68
110706,68
110707,68
110708,68
110709,68
110710,68
110711,68
110712,68
110713,68
110714,68
110715,68
110716,68
110717,68
110718,68
110719,68
110720,68
110721,68
110722,68
110723,68
110724,68
110725,68
110726,68
110727,68
110728,68
110729,68
110730,68
110731,68
110732,68
110733,68
110734,68
110735,68
110736,68
110737,68
110738,68
110739,68
110740,68
110741,68
110742,68
110743,68
110744,68
110745,68
110746,68
110747,68
110748,68
110749,68
110750,68
110751,68
110752,68
110753,68
110754,68
110755,68
110756,68
110757,68
110758,68
110759,68
110760,68
110761,68
110762,68
110763,68
110764,68
110765,68
110766,68
110767,68
110768,68
110769,68
110770,68
110771,68
110772,68
110773,68
110774,68
110775,68
110776,68
110777,68
110778,68
110779,68
110780,68
110781,68
110782,68
110783,68
110784,68
110785,68
110786,68
110787,68
110788,68
110789,68
110790,68
110791,68
110792,68
110793,68
110794,68
110795,68
110796,68
110797,68
110798,68
110799,68
110800,68
110801,68
110802,68
110803,68
110804,68
110805,68
110806,68
110807,68
110808,68
110809,68
110810,68
110811,68
110812,68
110813,68
110814,68
110815,68
110816,68
110817,68
110818,68
110819,68
110820,68
110821,68
110822,68
110823,68
110824,68
110825,68
110826,68
110827,68
110828,68
110829,68
110830,68
110831,68
110832,68
110833,68
110834,68
110835,68
110836,68
110837,68
110838,68
110839,68
110840,68
110841,68
110842,68
110843,68
110844,68
110845,68
110846,68
110847,68
110848,68
110849,68
110850,68
110851,68
110852,68
110853,68
110854,68
110855,68
110856,68
110857,68
110858,68
110859,68
110860,68
110861,68
110862,68
110863,68
110864,68
110865,68
110866,68
110867,68
110868,68
110869,68
110870,68
110871,68
110872,68
110873,68
110874,68
110875,68
110876,68
110877,68
110878,68
110879,68
110880,68
110881,68
110882,68
110883,68
110884,68
110885,68
110886,68
110887,68
110888,68
110889,68
110890,68
110891,68
110892,68
110893,68
110894,68
110895,68
110896,68
110897,68
110898,68
110899,68
110900,68
110901,68
110902,68
110903,68
110904,68
110905,68
110906,68
110907,68
110908,68
110909,68
110910,68
110911,68
110912,68
110913,68
110914,68
110915,68
110916,68
110917,68
110918,68
110919,68
110920,68
110921,68
110922,68
110923,68
110924,68
110925,68
110926,68
110927,68
110928,68
110929,68
110930,68
110931,68
110932,68
110933,68
110934,68
110935,68
110936,68
110937,68
110938,68
110939,68
110940,68
110941,68
110942,68
110943,68
110944,68
110945,68
110946,68
110947,68
110948,68
110949,68
110950,68
110951,68
110952,68
110953,68
110954,68
110955,68
110956,68
110957,68
110958,68
110959,68
110960,68
110961,68
110962,68
110963,68
110964,68
110965,68
110966,68
110967,68
110968,68
110969,68
110970,68
110971,68
110972,68
110973,68
110974,68
110975,68
110976,68
110977,68
110978,68
110979,68
110980,68
110981,68
110982,68
110983,68
110984,68
110985,68
110986,68
110987,68
110988,68
110989,68
110990,68
110991,68
110992,68
110993,68
110994,68
110995,68
110996,68
110997,68
110998,68
110999,68
111000,68
111001,68
111002,68
111003,68
111004,68
111005,68
111006,68
111007,68
111008,68
111009,68
111010,68
111011,68
111012,68
111013,68
111014,68
111015,68
111016,68
111017,68
111018,68
111019,68
111020,68
111021,68
111022,68
111023,68
111024,68
111025,68
111026,68
111027,68
111028,68
111029,68
111030,68
111031,68
111032,68
111033,68
111034,68
111035,68
111036,68
111037,68
111038,68
111039,68
111040,68
111041,68
111042,68
111043,68
111044,68
111045,68
111046,68
111047,68
111048,68
111049,68
111050,68
111051,68
111052,68
111053,68
111054,68
111055,68
111056,68
111057,68
111058,68
111059,68
111060,68
111061,68
111062,68
111063,68
111064,68
111065,68
111066,68
111067,68
111068,68
111069,68
111070,68
111071,68
111072,68
111073,68
111074,68
111075,68
111076,68
111077,68
111078,68
111079,68
111080,68
111081,68
111082,68
111083,68
111084,68
111085,68
111086,68
111087,68
111088,68
111089,68
111090,68
111091,68
111092,68
111093,68
111094,68
111095,68
111096,68
111097,68
111098,68
111099,68
111100,68
111101,68
111102,68
111103,68
111104,68
111105,68
111106,68
111107,68
111108,68
111109,68
111110,68
111111,68
111112,68
111113,68
111114,68
111115,68
111116,68
111117,68
111118,68
111119,68
111120,68
111121,68
111122,68
111123,68
111124,68
111125,68
111126,68
111127,68
111128,68
111129,68
111130,68
111131,68
111132,68
111133,68
111134,68
111135,68
111136,68
111137,68
111138,68
111139,68
111140,68
111141,68
111142,68
111143,68
111144,68
111145,68
111146,68
111147,68
111148,68
111149,68
111150,68
111151,68
111152,68
111153,68
111154,68
111155,68
111156,68
111157,68
111158,68
111159,68
111160,68
111161,68
111162,68
111163,68
111164,68
111165,68
111166,68
111167,68
111168,68
111169,68
111170,68
111171,68
111172,68
111173,68
111174,68
111175,68
111176,68
111177,68
111178,68
111179,68
111180,68
111181,68
111182,68
111183,68
111184,68
111185,68
111186,68
111187,68
111188,68
111189,68
111190,68
111191,68
111192,68
111193,68
111194,68
111195,68
111196,68
111197,68
111198,68
111199,68
111200,68
111201,68
111202,68
111203,68
111204,68
111205,68
111206,68
111207,68
111208,68
111209,68
111210,68
111211,68
111212,68
111213,68
111214,68
111215,68
111216,68
111217,68
111218,68
111219,68
111220,68
111221,68
111222,68
111223,68
111224,68
111225,68
111226,68
111227,68
111228,68
111229,68
111230,68
111231,68
111232,68
111233,68
111234,68
111235,68
111236,68
111237,68
111238,68
111239,68
111240,68
111241,68
111242,68
111243,68
111244,68
111245,68
111246,68
111247,68
111248,68
111249,68
111250,68
111251,68
111252,68
111253,68
111254,68
111255,68
111256,68
111257,68
111258,68
111259,68
111260,68
111261,68
111262,68
111263,68
111264,68
111265,68
111266,68
111267,68
111268,68
111269,68
111270,68
111271,68
111272,68
111273,68
111274,68
111275,68
111276,68
111277,68
111278,68
111279,68
111280,68
111281,68
111282,68
111283,68
111284,68
111285,68
111286,68
111287,68
111288,68
111289,68
111290,68
111291,68
111292,68
111293,68
111294,68
111295,68
111296,68
111297,68
111298,68
