Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,Xlb_orig,Price_orig
1826,43,43,43,2,0,47.50165605,0.00157,47.50165605,1,1,0,0,1,47.50165605
1826,44,44,44,2,0,45.91698113,0.00212,45.91698113,1,1,0,0,1,45.91698113
1826,45,45,45,2,0,46.58096724,0.001282,46.58096724,1,1,0,0,1,46.58096724
2426,46,46,46,2,0,18.51797047,-0.00435686,18.51797047,1,1,0,0,1,18.51797047
2426,47,47,47,2,0,22.5763964,-0.004789168,22.5763964,1,1,0,0,1,22.5763964
2426,48,48,48,2,0,23.48179304,-0.004828372,23.48179304,1,1,0,0,1,23.48179304
2687,49,49,49,2,0,20.60734549,-0.00448286,20.60734549,1,1,0,0,1,20.60734549
2687,50,50,50,2,0,26.85973849,-0.004979168,26.85973849,1,1,0,0,1,26.85973849
2687,51,51,51,2,0,25.4641947,-0.005412372,25.4641947,1,1,0,0,1,25.4641947
2720,52,52,52,2,0,18.82012983,-0.003970584,18.82012983,1,1,0,0,1,18.82012983
2720,53,53,53,2,0,24.84642375,-0.004051168,24.84642375,1,1,0,0,1,24.84642375
2720,54,54,54,2,0,20.06946021,-0.004374372,20.06946021,1,1,0,0,1,20.06946021
2720,55,55,55,2,0,24.23529073,-0.00374886,24.23529073,1,1,0,0,1,24.23529073
2961,56,56,56,2,0,20.94242979,-0.00448286,20.94242979,1,1,0,0,1,20.94242979
2961,57,57,57,2,0,27.27330156,-0.004979168,27.27330156,1,1,0,0,1,27.27330156
2961,58,58,58,2,0,27.25770554,-0.005118372,27.25770554,1,1,0,0,1,27.25770554
3018,59,59,59,2,0,20.94242979,-0.00448286,20.94242979,1,1,0,0,1,20.94242979
3018,60,60,60,2,0,26.49688751,-0.004979168,26.49688751,1,1,0,0,1,26.49688751
3018,61,61,61,2,0,27.97045259,-0.005412372,27.97045259,1,1,0,0,1,27.97045259
3100,62,62,62,2,0,24.89215867,-0.00448286,24.89215867,1,1,0,0,1,24.89215867
3100,63,63,63,2,0,24.18224235,-0.004989444,24.18224235,1,1,0,0,1,24.18224235
3100,64,64,64,2,0,27.14609233,-0.005152558,27.14609233,1,1,0,0,1,27.14609233
4010,65,65,65,2,0,20.99063401,-0.003984372,20.99063401,1,1,0,0,1,20.99063401
4010,66,66,66,2,0,48.87863843,0.00302357,48.87863843,1,1,0,0,1,48.87863843
4010,67,67,67,2,0,20.99063401,-0.003984372,20.99063401,1,1,0,0,1,20.99063401
4010,68,68,68,2,0,21.96689613,-0.003449168,21.96689613,1,1,0,0,1,21.96689613
4010,69,69,69,2,0,21.39145981,-0.004012372,21.39145981,1,1,0,0,1,21.39145981
4010,70,70,70,2,0,25.58334922,-0.00330286,25.58334922,1,1,0,0,1,25.58334922
4069,71,71,71,2,0,15.90893778,-0.00448286,15.90893778,1,1,0,0,1,15.90893778
4069,72,72,72,2,0,26.04152847,-0.004989444,26.04152847,1,1,0,0,1,26.04152847
4069,73,73,73,2,0,26.78925707,-0.005474558,26.78925707,1,1,0,0,1,26.78925707
4095,74,74,74,2,0,17.88946058,-0.00241,17.88946058,1,1,0,0,1,17.88946058
4095,75,75,75,2,0,19.24253165,-0.00237,19.24253165,1,1,0,0,1,19.24253165
4095,76,76,76,2,0,17.88946058,-0.00241,17.88946058,1,1,0,0,1,17.88946058
4095,77,77,77,2,0,21.67291139,-0.00237,21.67291139,1,1,0,0,1,21.67291139
4095,78,78,78,2,0,19.70866511,-0.002562,19.70866511,1,1,0,0,1,19.70866511
4095,79,79,79,2,0,23.48071749,-0.001784,23.48071749,1,1,0,0,1,23.48071749
4099,80,80,80,2,0,25.36590345,-0.00423129,25.36590345,1,1,0,0,1,25.36590345
4099,81,81,81,2,0,27.46314851,-0.004527752,27.46314851,1,1,0,0,1,27.46314851
4099,82,82,82,2,0,29.01911612,-0.004538558,29.01911612,1,1,0,0,1,29.01911612
4571,83,83,83,2,0,17.88946058,-0.00241,17.88946058,1,1,0,0,1,17.88946058
4571,84,84,84,2,0,19.24253165,-0.00237,19.24253165,1,1,0,0,1,19.24253165
4571,85,85,85,2,0,17.88946058,-0.00241,17.88946058,1,1,0,0,1,17.88946058
4571,86,86,86,2,0,21.67291139,-0.00237,21.67291139,1,1,0,0,1,21.67291139
4571,87,87,87,2,0,19.70866511,-0.002562,19.70866511,1,1,0,0,1,19.70866511
4571,88,88,88,2,0,23.48071749,-0.001784,23.48071749,1,1,0,0,1,23.48071749
4694,89,89,89,2,0,53.83014238,0.002572046,53.83014238,1,1,0,0,1,53.83014238
4694,90,90,90,2,0,50.57397003,0.002516668,50.57397003,1,1,0,0,1,50.57397003
4694,91,91,91,2,0,53.83014238,0.002572046,53.83014238,1,1,0,0,1,53.83014238
4694,92,92,92,2,0,20.11966754,-0.001808584,20.11966754,1,1,0,0,1,20.11966754
4694,93,93,93,2,0,23.20371008,-0.003007374,23.20371008,1,1,0,0,1,23.20371008
4694,94,94,94,2,0,50.94155358,0.00122929,50.94155358,1,1,0,0,1,50.94155358
4755,95,95,95,2,0,21.01056995,-0.00386,21.01056995,1,1,0,0,1,21.01056995
4755,96,96,96,2,0,22.31616341,-0.003378,22.31616341,1,1,0,0,1,22.31616341
4755,97,97,97,2,0,21.01056995,-0.00386,21.01056995,1,1,0,0,1,21.01056995
4755,98,98,98,2,0,24.72570694,-0.003112,24.72570694,1,1,0,0,1,24.72570694
4755,99,99,99,2,0,21.47637109,-0.003902,21.47637109,1,1,0,0,1,21.47637109
4755,100,100,100,2,0,26.63109954,-0.003074,26.63109954,1,1,0,0,1,26.63109954
4859,101,101,101,2,0,54.20377358,0.00318,54.20377358,1,1,0,0,1,54.20377358
4859,102,102,102,2,0,53.11788079,0.00302,53.11788079,1,1,0,0,1,53.11788079
4859,103,103,103,2,0,54.20377358,0.00318,54.20377358,1,1,0,0,1,54.20377358
4859,104,104,104,2,0,52.70294118,0.00272,52.70294118,1,1,0,0,1,52.70294118
4859,105,105,105,2,0,54.20377358,0.00318,54.20377358,1,1,0,0,1,54.20377358
4859,106,106,106,2,0,50.12307692,0.00234,50.12307692,1,1,0,0,1,50.12307692
5194,107,107,107,2,0,22.55097737,-0.00448286,22.55097737,1,1,0,0,1,22.55097737
5194,108,108,108,2,0,23.95880679,-0.004989444,23.95880679,1,1,0,0,1,23.95880679
5194,109,109,109,2,0,27.88085204,-0.005474558,27.88085204,1,1,0,0,1,27.88085204
5291,110,110,110,2,0,20.64982126,-0.003949374,20.64982126,1,1,0,0,1,20.64982126
5291,111,111,111,2,0,20.090668,-0.003940186,20.090668,1,1,0,0,1,20.090668
5291,112,112,112,2,0,19.86689239,-0.003922186,19.86689239,1,1,0,0,1,19.86689239
5291,113,113,113,2,0,21.70380017,-0.003390584,21.70380017,1,1,0,0,1,21.70380017
5291,114,114,114,2,0,20.28199361,-0.003950186,20.28199361,1,1,0,0,1,20.28199361
5291,115,115,115,2,0,25.35294022,-0.00326843,25.35294022,1,1,0,0,1,25.35294022
5350,116,116,116,2,0,17.31388235,-0.0017,17.31388235,1,1,0,0,1,17.31388235
5350,117,117,117,2,0,54.39945205,0.00146,54.39945205,1,1,0,0,1,54.39945205
5350,118,118,118,2,0,17.31388235,-0.0017,17.31388235,1,1,0,0,1,17.31388235
5350,119,119,119,2,0,21.09848276,-0.00145,21.09848276,1,1,0,0,1,21.09848276
5350,120,120,120,2,0,22.01676647,-0.002004,22.01676647,1,1,0,0,1,22.01676647
5350,121,121,121,2,0,22.67615658,-0.001124,22.67615658,1,1,0,0,1,22.67615658
5436,122,122,122,2,0,15.64069594,-0.00426529,15.64069594,1,1,0,0,1,15.64069594
5436,123,123,123,2,0,18.82888073,-0.004557752,18.82888073,1,1,0,0,1,18.82888073
5436,124,124,124,2,0,22.21184488,-0.004568558,22.21184488,1,1,0,0,1,22.21184488
5467,125,125,125,2,0,22.34815366,-0.00407086,22.34815366,1,1,0,0,1,22.34815366
5467,126,126,126,2,0,24.21977121,-0.004179168,24.21977121,1,1,0,0,1,24.21977121
5467,127,127,127,2,0,26.27175632,-0.004466372,26.27175632,1,1,0,0,1,26.27175632
5517,128,128,128,2,0,21.01056995,-0.00386,21.01056995,1,1,0,0,1,21.01056995
5517,129,129,129,2,0,19.91975245,-0.003878,19.91975245,1,1,0,0,1,19.91975245
5517,130,130,130,2,0,21.01056995,-0.00386,21.01056995,1,1,0,0,1,21.01056995
5517,131,131,131,2,0,50.44714286,0.00336,50.44714286,1,1,0,0,1,50.44714286
5517,132,132,132,2,0,21.47637109,-0.003902,21.47637109,1,1,0,0,1,21.47637109
5517,133,133,133,2,0,25.11762523,-0.003234,25.11762523,1,1,0,0,1,25.11762523
5564,134,134,134,2,0,22.26996269,-0.004288,22.26996269,1,1,0,0,1,22.26996269
5564,135,135,135,2,0,24.51023622,-0.004572,24.51023622,1,1,0,0,1,24.51023622
5564,136,136,136,2,0,26.72755906,-0.004572,26.72755906,1,1,0,0,1,26.72755906
5603,137,137,137,2,0,49.75373355,0.001164092,49.75373355,1,1,0,0,1,49.75373355
5603,138,138,138,2,0,47.11356832,0.001053336,47.11356832,1,1,0,0,1,47.11356832
5603,139,139,139,2,0,49.75373355,0.001164092,49.75373355,1,1,0,0,1,49.75373355
5603,140,140,140,2,0,23.30282683,-0.000796368,23.30282683,1,1,0,0,1,23.30282683
5603,141,141,141,2,0,47.9949571,0.001164092,47.9949571,1,1,0,0,1,47.9949571
5603,142,142,142,2,0,24.80025372,-0.00076934,24.80025372,1,1,0,0,1,24.80025372
5646,143,143,143,2,0,55.40307692,0.00351,55.40307692,1,1,0,0,1,55.40307692
5646,144,144,144,2,0,15.54455927,-0.00329,15.54455927,1,1,0,0,1,15.54455927
5646,145,145,145,2,0,15.2692437,-0.00357,15.2692437,1,1,0,0,1,15.2692437
5646,146,146,146,2,0,19.396231,-0.00329,19.396231,1,1,0,0,1,19.396231
5646,147,147,147,2,0,17.75838926,-0.003874,17.75838926,1,1,0,0,1,17.75838926
5646,148,148,148,2,0,22.54271686,-0.002444,22.54271686,1,1,0,0,1,22.54271686
5686,149,149,149,2,0,17.06057851,-0.002069374,17.06057851,1,1,0,0,1,17.06057851
5686,150,150,150,2,0,52.06173835,0.001986668,52.06173835,1,1,0,0,1,52.06173835
5686,151,151,151,2,0,17.06057851,-0.002069374,17.06057851,1,1,0,0,1,17.06057851
5686,152,152,152,2,0,20.11447109,-0.001583184,20.11447109,1,1,0,0,1,20.11447109
5686,153,153,153,2,0,22.67443729,-0.002525374,22.67443729,1,1,0,0,1,22.67443729
5686,154,154,154,2,0,21.46698994,-0.001137514,21.46698994,1,1,0,0,1,21.46698994
10370000,155,155,155,2,0,21.35769126,-0.003970584,21.35769126,1,1,0,0,1,21.35769126
10370000,156,156,156,2,0,23.56688681,-0.003992584,23.56688681,1,1,0,0,1,23.56688681
10370000,157,157,157,2,0,22.05557833,-0.00457443,22.05557833,1,1,0,0,1,22.05557833
10460000,158,158,158,2,0,22.68799275,-0.004414,22.68799275,1,1,0,0,1,22.68799275
10460000,159,159,159,2,0,27.47017688,-0.004862,27.47017688,1,1,0,0,1,27.47017688
10460000,160,160,160,2,0,26.89979976,-0.004994,26.89979976,1,1,0,0,1,26.89979976
11440000,161,161,161,2,0,22.53373313,-0.004002,22.53373313,1,1,0,0,1,22.53373313
11440000,162,162,162,2,0,24.29423929,-0.004062,24.29423929,1,1,0,0,1,24.29423929
11440000,163,163,163,2,0,26.38065408,-0.004342,26.38065408,1,1,0,0,1,26.38065408
12030000,164,164,164,2,0,22.28426843,-0.00432243,22.28426843,1,1,0,0,1,22.28426843
12030000,165,165,165,2,0,22.57063348,-0.004730584,22.57063348,1,1,0,0,1,22.57063348
12030000,166,166,166,2,0,22.29811391,-0.004832,22.29811391,1,1,0,0,1,22.29811391
12460000,167,167,167,2,0,22.34815366,-0.00407086,22.34815366,1,1,0,0,1,22.34815366
12460000,168,168,168,2,0,24.21977121,-0.004179168,24.21977121,1,1,0,0,1,24.21977121
12460000,169,169,169,2,0,26.27175632,-0.004466372,26.27175632,1,1,0,0,1,26.27175632
12660000,170,170,170,2,0,17.65260151,-0.001409374,17.65260151,1,1,0,0,1,17.65260151
12660000,171,171,171,2,0,19.52567595,-0.0013683,19.52567595,1,1,0,0,1,19.52567595
12660000,172,172,172,2,0,17.65260151,-0.001409374,17.65260151,1,1,0,0,1,17.65260151
12660000,173,173,173,2,0,23.82974411,-0.001583184,23.82974411,1,1,0,0,1,23.82974411
12660000,174,174,174,2,0,20.63556483,-0.001561374,20.63556483,1,1,0,0,1,20.63556483
12660000,175,175,175,2,0,23.581884,-0.001137514,23.581884,1,1,0,0,1,23.581884
12670000,176,176,176,2,0,17.47700326,-0.00307,17.47700326,1,1,0,0,1,17.47700326
12670000,177,177,177,2,0,56.62694561,0.00239,56.62694561,1,1,0,0,1,56.62694561
12670000,178,178,178,2,0,17.47700326,-0.00307,17.47700326,1,1,0,0,1,17.47700326
12670000,179,179,179,2,0,19.30025316,-0.00237,19.30025316,1,1,0,0,1,19.30025316
12670000,180,180,180,2,0,21.47543959,-0.003526,21.47543959,1,1,0,0,1,21.47543959
12670000,181,181,181,2,0,22.59686099,-0.001784,22.59686099,1,1,0,0,1,22.59686099
12680000,182,182,182,2,0,17.88946058,-0.00241,17.88946058,1,1,0,0,1,17.88946058
12680000,183,183,183,2,0,19.24253165,-0.00237,19.24253165,1,1,0,0,1,19.24253165
12680000,184,184,184,2,0,17.88946058,-0.00241,17.88946058,1,1,0,0,1,17.88946058
12680000,185,185,185,2,0,21.67291139,-0.00237,21.67291139,1,1,0,0,1,21.67291139
12680000,186,186,186,2,0,19.70866511,-0.002562,19.70866511,1,1,0,0,1,19.70866511
12680000,187,187,187,2,0,23.48071749,-0.001784,23.48071749,1,1,0,0,1,23.48071749
12760000,188,188,188,2,0,18.79577126,-0.004162,18.79577126,1,1,0,0,1,18.79577126
12760000,189,189,189,2,0,20.75927137,-0.004282,20.75927137,1,1,0,0,1,20.75927137
12760000,190,190,190,2,0,26.38065408,-0.004342,26.38065408,1,1,0,0,1,26.38065408
12850000,191,191,191,2,0,19.1595092,-0.003912,19.1595092,1,1,0,0,1,19.1595092
12850000,192,192,192,2,0,25.11032028,-0.003934,25.11032028,1,1,0,0,1,25.11032028
12850000,193,193,193,2,0,21.89023798,-0.004118,21.89023798,1,1,0,0,1,21.89023798
12930000,194,194,194,2,0,48.57962264,0.00159,48.57962264,1,1,0,0,1,48.57962264
12930000,195,195,195,2,0,46.89056604,0.00159,46.89056604,1,1,0,0,1,46.89056604
12930000,196,196,196,2,0,48.57962264,0.00159,48.57962264,1,1,0,0,1,48.57962264
12930000,197,197,197,2,0,48.8636528,0.001106,48.8636528,1,1,0,0,1,48.8636528
12930000,198,198,198,2,0,45.91698113,0.00159,45.91698113,1,1,0,0,1,45.91698113
12930000,199,199,199,2,0,49.2,0.000834,49.2,1,1,0,0,1,49.2
13280000,200,200,200,2,0,23.72215677,-0.004414,23.72215677,1,1,0,0,1,23.72215677
13280000,201,201,201,2,0,26.15812423,-0.004862,26.15812423,1,1,0,0,1,26.15812423
13280000,202,202,202,2,0,28.42076749,-0.005316,28.42076749,1,1,0,0,1,28.42076749
13290000,203,203,203,2,0,53.03794895,0.002334884,53.03794895,1,1,0,0,1,53.03794895
13290000,204,204,204,2,0,54.96975351,0.0019855,54.96975351,1,1,0,0,1,54.96975351
13290000,205,205,205,2,0,53.03794895,0.002334884,53.03794895,1,1,0,0,1,53.03794895
13290000,206,206,206,2,0,19.1941266,-0.001889468,19.1941266,1,1,0,0,1,19.1941266
13290000,207,207,207,2,0,53.03794895,0.002334884,53.03794895,1,1,0,0,1,53.03794895
13290000,208,208,208,2,0,50.39075665,0.0013055,50.39075665,1,1,0,0,1,50.39075665
13460000,209,209,209,2,0,22.87637224,-0.003970584,22.87637224,1,1,0,0,1,22.87637224
13460000,210,210,210,2,0,23.19963857,-0.003922186,23.19963857,1,1,0,0,1,23.19963857
13460000,211,211,211,2,0,25.01791281,-0.003992584,25.01791281,1,1,0,0,1,25.01791281
13460000,212,212,212,2,0,25.49731282,-0.003680584,25.49731282,1,1,0,0,1,25.49731282
13460000,213,213,213,2,0,21.93370515,-0.004180186,21.93370515,1,1,0,0,1,21.93370515
13460000,214,214,214,2,0,27.32482331,-0.00339443,27.32482331,1,1,0,0,1,27.32482331
13500000,215,215,215,2,0,21.01056995,-0.00386,21.01056995,1,1,0,0,1,21.01056995
13500000,216,216,216,2,0,22.31616341,-0.003378,22.31616341,1,1,0,0,1,22.31616341
13500000,217,217,217,2,0,21.01056995,-0.00386,21.01056995,1,1,0,0,1,21.01056995
13500000,218,218,218,2,0,24.72570694,-0.003112,24.72570694,1,1,0,0,1,24.72570694
13500000,219,219,219,2,0,21.47637109,-0.003902,21.47637109,1,1,0,0,1,21.47637109
13500000,220,220,220,2,0,26.63109954,-0.003074,26.63109954,1,1,0,0,1,26.63109954
13510000,221,221,221,2,0,17.59000481,-0.004162,17.59000481,1,1,0,0,1,17.59000481
13510000,222,222,222,2,0,20.75927137,-0.004282,20.75927137,1,1,0,0,1,20.75927137
13510000,223,223,223,2,0,26.38065408,-0.004342,26.38065408,1,1,0,0,1,26.38065408
13760000,224,224,224,2,0,25.02870253,-0.00444843,25.02870253,1,1,0,0,1,25.02870253
13760000,225,225,225,2,0,43.44833554,0.000898668,43.44833554,1,1,0,0,1,43.44833554
13760000,226,226,226,2,0,27.37056723,-0.004920584,27.37056723,1,1,0,0,1,27.37056723
13760000,227,227,227,2,0,43.44833554,0.000898668,43.44833554,1,1,0,0,1,43.44833554
13760000,228,228,228,2,0,29.03351888,-0.004924186,29.03351888,1,1,0,0,1,29.03351888
13760000,229,229,229,2,0,43.28350152,0.00084329,43.28350152,1,1,0,0,1,43.28350152
14760000,230,230,230,2,0,22.34815366,-0.00407086,22.34815366,1,1,0,0,1,22.34815366
14760000,231,231,231,2,0,24.21977121,-0.004179168,24.21977121,1,1,0,0,1,24.21977121
14760000,232,232,232,2,0,26.27175632,-0.004466372,26.27175632,1,1,0,0,1,26.27175632
15240000,233,233,233,2,0,46.53982242,0.000644652,46.53982242,1,1,0,0,1,46.53982242
15240000,234,234,234,2,0,45.25625109,0.000562862,45.25625109,1,1,0,0,1,45.25625109
15240000,235,235,235,2,0,46.53982242,0.000644652,46.53982242,1,1,0,0,1,46.53982242
15240000,236,236,236,2,0,46.43079121,0.000562862,46.43079121,1,1,0,0,1,46.43079121
15240000,237,237,237,2,0,46.53982242,0.000644652,46.53982242,1,1,0,0,1,46.53982242
15240000,238,238,238,2,0,44.37572975,0.000562862,44.37572975,1,1,0,0,1,44.37572975
15490000,239,239,239,2,0,25.66559226,-0.00416243,25.66559226,1,1,0,0,1,25.66559226
15490000,240,240,240,2,0,26.28238952,-0.00387643,26.28238952,1,1,0,0,1,26.28238952
15490000,241,241,241,2,0,27.68521701,-0.004410584,27.68521701,1,1,0,0,1,27.68521701
15490000,242,242,242,2,0,27.75813664,-0.00387643,27.75813664,1,1,0,0,1,27.75813664
15490000,243,243,243,2,0,29.27091138,-0.004414186,29.27091138,1,1,0,0,1,29.27091138
15490000,244,244,244,2,0,30.33997157,-0.00387643,30.33997157,1,1,0,0,1,30.33997157
15860000,245,245,245,2,0,22.28426843,-0.00432243,22.28426843,1,1,0,0,1,22.28426843
15860000,246,246,246,2,0,24.56686552,-0.004630584,24.56686552,1,1,0,0,1,24.56686552
15860000,247,247,247,2,0,26.76332076,-0.004634186,26.76332076,1,1,0,0,1,26.76332076
15880000,248,248,248,2,0,20.5778525,-0.003502372,20.5778525,1,1,0,0,1,20.5778525
15880000,249,249,249,2,0,22.82246041,-0.003440186,22.82246041,1,1,0,0,1,22.82246041
15880000,250,250,250,2,0,24.10150652,-0.003996748,24.10150652,1,1,0,0,1,24.10150652
15880000,251,251,251,2,0,25.50866187,-0.003170584,25.50866187,1,1,0,0,1,25.50866187
15880000,252,252,252,2,0,24.10150652,-0.003996748,24.10150652,1,1,0,0,1,24.10150652
15880000,253,253,253,2,0,28.07398462,-0.00310843,28.07398462,1,1,0,0,1,28.07398462
16010000,254,254,254,2,0,18.67804768,-0.00423086,18.67804768,1,1,0,0,1,18.67804768
16010000,255,255,255,2,0,20.78267818,-0.004399168,20.78267818,1,1,0,0,1,20.78267818
16010000,256,256,256,2,0,22.59757315,-0.004466372,22.59757315,1,1,0,0,1,22.59757315
16120000,257,257,257,2,0,22.44015192,-0.00403643,22.44015192,1,1,0,0,1,22.44015192
16120000,258,258,258,2,0,24.25647588,-0.004120584,24.25647588,1,1,0,0,1,24.25647588
16120000,259,259,259,2,0,26.32543639,-0.004404186,26.32543639,1,1,0,0,1,26.32543639
16300000,260,260,260,2,0,17.60438646,-0.003970584,17.60438646,1,1,0,0,1,17.60438646
16300000,261,261,261,2,0,23.80853482,-0.003992584,23.80853482,1,1,0,0,1,23.80853482
16300000,262,262,262,2,0,53.84679798,0.00368121,53.84679798,1,1,0,0,1,53.84679798
16300000,263,263,263,2,0,22.05557833,-0.00457443,22.05557833,1,1,0,0,1,22.05557833
16300000,264,264,264,2,0,51.48626307,0.003754812,51.48626307,1,1,0,0,1,51.48626307
98,265,265,265,2,0,0,0.034615182,0,0,1,0,0,0,0
98,265,265,266,2,0,0,-2.20067892,0,0,1,0,0,0,0
98,265,266,267,3,0,0,0.034615182,0,0,1,0,0,0,0
98,265,266,268,3,0,0,-2.20067892,0,0,1,0,0,0,0
98,265,267,269,4,0,0,0.034615182,0,0,1,0,0,0,0
98,265,267,270,4,0,0,-2.20067892,0,0,1,0,0,0,0
133,266,268,271,2,0,0,-11.219019,0,0,1,0,0,0,0
133,266,269,272,3,0,0,-11.219019,0,0,1,0,0,0,0
133,266,270,273,4,0,0,-11.219019,0,0,1,0,0,0,0
161,267,271,274,2,0,0,-1.998800697,0,0,1,0,0,0,0
161,267,272,275,3,0,0,-1.998800697,0,0,1,0,0,0,0
161,267,273,276,4,0,0,-1.998800697,0,0,1,0,0,0,0
195,268,274,277,2,0,0,1.2155,0,0,1,0,0,0,0
195,268,274,278,2,0,0,-1.496688553,0,0,1,0,0,0,0
195,268,275,279,3,0,0,1.2155,0,0,1,0,0,0,0
195,268,275,280,3,0,0,-1.496688553,0,0,1,0,0,0,0
195,268,276,281,4,0,0,1.2155,0,0,1,0,0,0,0
195,268,276,282,4,0,0,-1.496688553,0,0,1,0,0,0,0
200,269,277,283,2,0,0,-0.707591531,0,0,1,0,0,0,0
200,269,278,284,3,0,0,-0.707591531,0,0,1,0,0,0,0
200,269,279,285,4,0,0,-0.707591531,0,0,1,0,0,0,0
342,270,280,286,2,0,0,0.408,0,0,1,0,0,0,0
342,270,280,287,2,0,0,-0.59444696,0,0,1,0,0,0,0
342,270,281,288,3,0,0,0.408,0,0,1,0,0,0,0
342,270,281,289,3,0,0,-0.59444696,0,0,1,0,0,0,0
342,270,282,290,4,0,0,0.408,0,0,1,0,0,0,0
342,270,282,291,4,0,0,-0.59444696,0,0,1,0,0,0,0
487,271,283,292,2,0,0,-2.474528873,0,0,1,0,0,0,0
487,271,284,293,3,0,0,-2.474528873,0,0,1,0,0,0,0
487,271,285,294,4,0,0,-2.474528873,0,0,1,0,0,0,0
941,272,286,295,2,0,0,-1.926420727,0,0,1,0,0,0,0
941,272,287,296,3,0,0,-1.926420727,0,0,1,0,0,0,0
941,272,288,297,4,0,0,-1.926420727,0,0,1,0,0,0,0
993,273,289,298,2,0,0,-0.635582741,0,0,1,0,0,0,0
